# Authors of papers coded as being about China (CHN in country_iso3_list)
# Source: data/country_classified.csv  |  Total papers: 217
# Format per line: AUTHORS  |  Title  (JOURNAL YEAR, doi:DOI)  [setting; iso3_list]
#----------------------------------------------------------------------------------------------------
Gaurav Khanna; Wenquan Liang; Ahmed Mushfiq Mobarak; Ran Song  |  The Productivity Consequences of Pollution-Induced Migration in China  (AEJ_Applied 2025, doi:10.1257/app.20220655)  [single_country; CHN]
Koichiro Ito; Shuang Zhang  |  Do Consumers Distinguish Fixed Cost from Variable Cost? “Schmeduling” in Two-Part Tariffs in Energy  (AEJ_EP 2025, doi:10.1257/pol.20230613)  [single_country; CHN]
Rui Li; Hong Song; Jun Zhang; Junsen Zhang  |  The Effects of a Multifaceted Poverty Alleviation Program on Rural Income and Household Behavior in China  (AEJ_EP 2025, doi:10.1257/pol.20210485)  [single_country; CHN]
C.R.I. Clayton; Amanda dos Santos; Matteo Maggiori; Jesse Schreger  |  Internationalizing Like China  (AER 2025, doi:10.1257/aer.20221722)  [single_country; CHN]
Jie Bai; Panle Jia Barwick; Shengmao Cao; Shanjun Li  |  Quid Pro Quo, Knowledge Spillovers, and Industrial Quality Upgrading: Evidence from the Chinese Auto Industry  (AER 2025, doi:10.1257/aer.20221501)  [single_country; CHN]
Qiaoyi Chen; Chen Zhao; Zhikuo Liu; Juan Carlos Suárez Serrato; Daniel Yi Xu  |  Regulating Conglomerates: Evidence from an Energy Conservation Program in China  (AER 2025, doi:10.1257/aer.20211455)  [single_country; CHN]
Jing Ding; Lei Jiang; Lucy Msall; Matthew Notowidigdo  |  Consumer-Financed Fiscal Stimulus: Evidence from Digital Coupons in China  (AERI 2025, doi:10.1257/aeri.20240210)  [single_country; CHN]
Qingen Gai; Naijia Guo; Bingjing Li; Qinghua Shi; Xiaodong Zhu  |  Rural Pensions, Labor Reallocation, and Aggregate Income: An Empirical and Quantitative Analysis of China  (ECMA 2025, doi:10.3982/ecta19699)  [single_country; CHN]
Chen Heng; Li Han  |  The Media and Foreign Powers: Does Market Access Matter for News Reporting?  (EJ 2025, doi:10.1093/ej/ueaf129)  [single_country; CHN]
Geer Ang; Yu Qin; Ya Tan; Fan Zhang  |  From Connections to Merit: Anti-Corruption Reform and Occupational Mobility in China's Civil Service  (EJ 2025, doi:10.1093/ej/ueaf011)  [single_country; CHN]
Haonan Li; Xuan Wang  |  Firm Responses to Tax Audits: Regression Discontinuity Evidence from a Threshold-Based Audit Program  (EJ 2025, doi:10.1093/ej/ueaf060)  [single_country; CHN]
Hong Ma; Yu Pan; Mingzhi Xu  |  The Criminogenic Consequence of Export Slowdown: Evidence from Millions of Court Judgement Documents in China  (EJ 2025, doi:10.1093/ej/ueaf024)  [single_country; CHN]
Wei Huang; Qingfeng Liu; Jianwei Xing; Shilin Zheng  |  Breaking the Iron Rice Bowl: Tenure-Track Systems and the Rise of Academic Innovation in China  (EJ 2025, doi:10.1093/ej/ueaf093)  [single_country; CHN]
Weijia Li  |  Rotation, performance rewards, and property rights  (EJ 2025, doi:10.1093/ej/ueaf126)  [single_country; CHN]
Yihong Huang; YIXI JIANG; Ziqi Lu  |  Correlation Neglect on Social Media: Effects on Civil Service Applications in China  (EJ 2025, doi:10.1093/ej/ueaf047)  [single_country; CHN]
Ana P. Fernandes; Jing‐Lin Duanmu  |  Foreign banks and firms’ export dynamics: Evidence from China’s banking reform  (JDE 2025, doi:10.1016/j.jdeveco.2025.103474)  [single_country; CHN]
Fangjing Zha; Di Zhou  |  The long-term effect of television on children's human capital development in China  (JDE 2025, doi:10.1016/j.jdeveco.2025.103538)  [single_country; CHN]
Guangbo Huang; Chong Liu; Tianyang Xi; Huayu Xu; Wei You  |  The agricultural and economic impacts of massive water diversion  (JDE 2025, doi:10.1016/j.jdeveco.2025.103517)  [single_country; CHN]
