iso3,name_canonical,income_group,papers_raw,papers_fractional,headcount_pct_2021,headcount_year_used,headcount_is_stale,total_population_2021,poor_population_2021_mn,share_of_papers,share_of_poor,share_of_pop,rep_ratio_poor,rep_ratio_pop
CHN,China,UMC,216,215.0,0.0000,2021,FALSE,1412360000,0.0000,0.191793,,0.221431,,0.866
IND,India,LMC,197,194.25,6.6100,2011,TRUE,1414203896,93.4789,0.173283,0.197938,0.221720,0.875,0.782
BRA,Brazil,UMC,82,81.5,4.7000,2021,FALSE,209550294,9.8489,0.072703,0.020855,0.032854,3.486,2.213
MEX,Mexico,UMC,50,48.5,1.7400,2020,FALSE,127648148,2.2211,0.043265,0.004703,0.020013,9.199,2.162
COL,Colombia,UMC,46,45.5,6.5700,2021,FALSE,51188173,3.3631,0.040589,0.007121,0.008025,5.700,5.058
KEN,Kenya,LMC,45,43.5,22.9400,2021,FALSE,53219166,12.2085,0.038805,0.025851,0.008344,1.501,4.651
IDN,Indonesia,UMC,39,35.25,1.7200,2021,FALSE,276758053,4.7602,0.031445,0.010080,0.043390,3.120,0.725
PAK,Pakistan,LMC,35,34.3333,2.8000,2018,FALSE,239477801,6.7054,0.030627,0.014198,0.037546,2.157,0.816
BGD,Bangladesh,LMC,33,31.5,4.9400,2016,FALSE,167658854,8.2823,0.028100,0.017537,0.026286,1.602,1.069
UGA,Uganda,LIC,30,27.0,40.0400,2019,FALSE,45910930,18.3827,0.024086,0.038925,0.007198,0.619,3.346
PER,Peru,UMC,25,25.0,2.1800,2021,FALSE,33155882,0.7228,0.022302,0.001530,0.005198,14.571,4.290
MWI,Malawi,LIC,20,20.0,56.9300,2019,FALSE,20047258,11.4129,0.017841,0.024166,0.003143,0.738,5.676
TZA,Tanzania,LMC,21,19.0833,29.1600,2018,FALSE,62830412,18.3213,0.017023,0.038795,0.009851,0.439,1.728
GHA,Ghana,LMC,21,18.8333,25.4200,2016,FALSE,32518665,8.2662,0.016800,0.017503,0.005098,0.960,3.295
TUR,Turkiye,UMC,17,17.0,0.4500,2021,FALSE,84147318,0.3787,0.015165,0.000802,0.013193,18.912,1.150
ZAF,South Africa,UMC,16,16.0,16.2400,2014,TRUE,61502603,9.9880,0.014273,0.021149,0.009642,0.675,1.480
PHL,Philippines,LMC,14,13.5,2.1900,2021,FALSE,113100950,2.4769,0.012043,0.005245,0.017732,2.296,0.679
RWA,Rwanda,LIC,14,13.0,43.9600,2016,FALSE,13355260,5.8710,0.011597,0.012432,0.002094,0.933,5.538
NGA,Nigeria,LMC,13,12.3333,17.3200,2018,FALSE,218529286,37.8493,0.011002,0.080144,0.034261,0.137,0.321
SLV,El Salvador,UMC,11,11.0,3.2300,2021,FALSE,6255782,0.2021,0.009813,0.000428,0.000981,22.930,10.005
SLE,Sierra Leone,LIC,11,10.3333,19.0000,2018,FALSE,8094602,1.5380,0.009218,0.003257,0.001269,2.831,7.263
AFG,Afghanistan,LIC,10,10.0,,,FALSE,40000412,,0.008921,,0.006271,,1.422
ARG,Argentina,UMC,10,10.0,0.8300,2021,FALSE,45312281,0.3761,0.008921,0.000796,0.007104,11.202,1.256
VNM,Viet Nam,LMC,10,10.0,0.3300,2020,FALSE,98935098,0.3265,0.008921,0.000691,0.015511,12.903,0.575
MOZ,Mozambique,LIC,10,9.5,69.8000,2019,FALSE,31707800,22.1320,0.008475,0.046864,0.004971,0.181,1.705
COD,"Congo, Dem. Rep.",LIC,8,8.0,74.4000,2020,FALSE,99148932,73.7668,0.007136,0.156198,0.015545,0.046,0.459
BFA,Burkina Faso,LIC,9,7.8333,21.3700,2021,FALSE,21995243,4.7004,0.006988,0.009953,0.003448,0.702,2.026
EGY,"Egypt, Arab Rep.",LMC,7,7.0,0.1600,2021,FALSE,110957008,0.1775,0.006244,0.000376,0.017396,16.614,0.359
SEN,Senegal,LMC,7,7.0,5.9600,2021,FALSE,17220867,1.0264,0.006244,0.002173,0.002700,2.873,2.313
