journal_short,journal_full,publication_year,publication_date,volume,issue,first_page,last_page,doi,title,authors,abstract,abstract_source,jel_codes,jel_codes_o_only,is_development,dev_filter_source,dev_llm_classification,dev_llm_justification,rct_classification,rct_subtype,rct_confidence,rct_justification,openalex_id,snapshot_utc,dev_llm_model,dev_llm_prompt_version,rct_llm_model,rct_llm_prompt_version
AER,American Economic Review,2021,2021-06-30,111,7,2065,2100,10.1257/aer.20191758,Notching R&amp;D Investment with Corporate Income Tax Cuts in China,Chen Zhao; Zhikuo Liu; Juan Carlos Suárez Serrato; Daniel Yi Xu,"We study a Chinese policy that awards substantial tax cuts to firms with R&amp;D investment over a threshold or “notch.” Quasi-experimental variation and administrative tax data show a significant increase in reported R&amp;D that is partly driven by firms relabeling expenses as R&amp;D. Structural estimates show relabeling accounts for 24.2 percent of reported R&amp;D and that doubling R&amp;D would increase productivity by 9 percent. Policy simulations show that firm selection and relabeling determine the cost-effectiveness of stimulating R&amp;D, that notch-based policies are more effective than tax credits when relabeling is prevalent, and that modest spillovers justify the program from a welfare perspective. (JEL D22, D24, H25, O14, O32, P31, P35)",openalex,D22;D24;O14;O32;P31;P35,O14;O32,TRUE,jel_o1_o2_code,,,no,n/a,high,"This paper uses quasi-experimental variation from a policy threshold (notch design) with observational administrative tax data, not random assignment by researchers.",https://openalex.org/W2884891121,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2021,2021-05-27,111,6,1918,1943,10.1257/aer.20200295,Can Network Theory-Based Targeting Increase Technology Adoption?,Lori Beaman; Ariel BenYishay; Jeremy Magruder; Ahmed Mushfiq Mobarak,"Can targeting information to network-central farmers induce more adoption of a new agricultural technology? By combining social network data and a field experiment in 200 villages in Malawi, we find that targeting central farmers is important to spur the diffusion process. We also provide evidence of one explanation for why centrality matters: a diffusion process governed by complex contagion. Our results are consistent with a model in which many farmers need to learn from multiple people before they adopt themselves. This means that without proper targeting of information, the diffusion process can stall and technology adoption remains perpetually low. (JEL O13, O18, O33, Q12, Q16)",openalex,O13;O18;O33;Q12,O13;O18;O33,TRUE,jel_o1_o2_code,,,yes,cluster,high,"The abstract explicitly mentions a field experiment in 200 villages in Malawi with targeting of information to network-central farmers, indicating cluster-randomized assignment at the village level.",https://openalex.org/W2887450805,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2021,2021-06-30,111,7,2342,2375,10.1257/aer.20200705,On Her Own Account: How Strengthening Women’s Financial Control Impacts Labor Supply and Gender Norms,Erica Field; Rohini Pande; Natalia Rigol; Simone Schaner; Charity Troyer Moore,"Can increasing control over earnings incentivize a woman to work, and thereby influence norms around gender roles? We randomly varied whether rural Indian women received bank accounts, training in account use, and direct deposit of public sector wages into their own (versus husbands') accounts. Relative to the accounts only group, women who also received direct deposit and training worked more in public and private sector jobs. The private sector result suggests gender norms initially constrained female employment. Three years later, direct deposit and training broadly liberalized women's own work-related norms, and shifted perceptions of community norms.",openalex,G51;G53;J16;J31;O12;O16;Z13,O12;O16,TRUE,jel_o1_o2_code,,,yes,individual,high,"The abstract explicitly describes random variation in whether women received bank accounts, training, and direct deposit of wages, with comparison between treatment groups showing causal effects on labor supply and gender norms.",https://openalex.org/W2973701128,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2021,2021-05-27,111,6,1807,1844,10.1257/aer.20191780,Types of Contact: A Field Experiment on Collaborative and Adversarial Caste Integration,Matt Lowe,"I estimate the effects of collaborative and adversarial intergroup contact. I randomly assigned Indian men from different castes to participate in cricket leagues or to serve as a control group. League players faced variation in collaborative contact, through random assignment to homogeneous-caste or mixed-caste teams, and adversarial contact, through random assignment of opponents. Collaborative contact increases cross-caste friendships and efficiency in trade, and reduces own-caste favoritism. In contrast, adversarial contact generally reduces cross-caste interaction and efficiency. League participation reduces intergroup differences, suggesting that the positive aspects of intergroup contact more than offset the negative aspects in this setting. (JEL C93, D83, D91, J15, O15, Z13, Z21)",openalex,C93;D83;D91;J15;O15;Z13;Z21,O15,TRUE,jel_o1_o2_code,,,yes,individual,high,"The abstract explicitly describes random assignment of Indian men to cricket leagues versus control, and random assignment to team compositions and opponents, constituting a field experiment with real-world intervention.",https://openalex.org/W2995374774,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2022,2022-02-28,112,3,899,927,10.1257/aer.20201112,Reshaping Adolescents' Gender Attitudes: Evidence from a School-Based Experiment in India,Diva Dhar; Tarun Jain; Seema Jayachandran,"This paper evaluates an intervention in India that engaged adolescent girls and boys in classroom discussions about gender equality for two years, aiming to reduce their support for societal norms that restrict women's and girls' opportunities. Using a randomized controlled trial, we find that the program made attitudes more supportive of gender equality by 0.18 standard deviations, or, equivalently, converted 16 percent of regressive attitudes. When we resurveyed study participants two years after the intervention had ended, the effects had persisted. The program also led to more gender-equal self-reported behavior, and we find weak evidence that it affected two revealed-preference measures. (JEL D63, D91, I21, J13, J16, 012)",openalex,D63;D91;I21;J13;J16;O12,O12,TRUE,jel_o1_o2_code,,,yes,cluster,high,"The abstract explicitly states the study uses a randomized controlled trial to evaluate a school-based intervention engaging adolescents in classroom discussions about gender equality, which is clearly a cluster-randomized design at the school or classroom level.",https://openalex.org/W3150052525,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2024,2024-04-30,114,5,1338,1381,10.1257/aer.20200956,From Fog to Smog: The Value of Pollution Information,Panle Jia Barwick; Shanjun Li; Liguo Lin; Eric Zou,"In 2013, China launched a landmark program to monitor air quality and disclose real-time data, significantly increasing the public’s access to and awareness of pollution information. The program triggered cascading behavioral changes such as stronger avoidance of outdoor pollution exposure and increased spending on protective products. These behavioral responses mitigated the mortality impact of air pollution. Conservative estimates indicate that the program’s health benefits outweigh the costs by an order of magnitude. The findings highlight the benefits of improving public access to pollution information in developing countries which often experience severe air pollution but lack pollution data collection and dissemination. (JEL D83, D91, I12, O13, P28, Q51, Q53)",openalex,D83;D91;I12;O13;P28;Q51;Q53,O13,TRUE,jel_o1_o2_code,,,no,n/a,high,"This paper evaluates a government-initiated pollution monitoring program using observational data without researcher-implemented randomization; it is a quasi-experimental study of a policy rollout, not an RCT.",https://openalex.org/W3150080251,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2022,2022-05-31,112,6,1885,1914,10.1257/aer.20191234,Migrants and Firms: Evidence from China,Clément Imbert; Marlon Seror; Yifan Zhang; Yanos Zylberberg,"How does rural-urban migration shape urban production in developing countries? We use longitudinal data on Chinese manufacturing firms between 2000 and 2006, and exploit exogenous variation in rural-urban migration induced by agricultural income shocks for identification. We find that, when immigration increases, manufacturing production becomes more labor intensive and productivity declines. We investigate the reorganization of production using patent applications and product information. We show that rural-urban migration induces both labor-oriented technological change and the adoption of labor intensive product varieties. (JEL D24, L23, L60, O33, P25, P31, R23)",openalex,D24;L23;L60;O33;P25;P31;R23,O33,TRUE,country_match,,,no,n/a,high,"This paper uses observational longitudinal data with agricultural income shocks as an instrumental variable for migration, not a randomized controlled trial.",https://openalex.org/W2909598045,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2024,2024-02-29,114,3,815,850,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Mark Buntaine; Michael Greenstone; Guojun He; Mengdi Liu; Shaoda Wang; Bing Zhang,"We conducted a nationwide field experiment in China to evaluate the direct and indirect impacts of assigning firms to public or private citizen appeals when they violate pollution standards. There are three main findings. First, public appeals to the regulator through social media substantially reduce violations and pollution emissions, while private appeals cause more modest environmental improvements. Second, public appeals appear to tilt regulators’ focus away from facilitating economic growth and toward avoiding pollution-induced public unrest. Third, pollution reductions by treated firms are not offset by control firms, based on randomly varying the proportion of treated firms at the prefecture level. (JEL D22, L82, P28, P31, Q52, Q53, Q58)",openalex,D22;L82;P28;P31;Q52;Q53;Q58,,TRUE,country_match,,,yes,individual,high,"The abstract explicitly describes a nationwide field experiment with random assignment of firms to public or private citizen appeals, and includes a cluster-level randomization component (varying treatment proportion at prefecture level).",https://openalex.org/W4392295937,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2022,2022-12-30,113,1,34,70,10.1257/aer.20191701,Conflict and Intergroup Trade: Evidence from the 2014 Russia-Ukraine Crisis,Vasily Korovkin; Alexey Makarin,"Does armed conflict reduce trade, even in noncombat areas, through the destruction of intergroup social capital? We analyze Ukrainian trade transactions before and after the 2014 Russia-Ukraine conflict. In a difference-in-differences framework, we find that Ukrainian firms from districts with fewer ethnic Russians experienced a deeper decline in trade with Russia. This decline is economically signifi-cant, persistent, and can be explained by erosion of intergroup trust. Affected Ukrainian firms suffered a decrease in performance and diverted trade to other countries. Our results suggest that, through social effects, conflict can be economically damaging even away from combat areas. (JEL D74, F14, F51, J15, P31, P33, Z13)",openalex,D74;F14;F51;J15;P31;P33;Z13,,TRUE,country_match,,,no,n/a,high,"This paper uses a difference-in-differences framework to analyze observational trade data around the 2014 Russia-Ukraine conflict, with no researcher-implemented randomization.",https://openalex.org/W4313303421,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2022,2022-11-28,112,12,3803,3847,10.1257/aer.20181506,Earnings Inequality and the Minimum Wage: Evidence from Brazil,Niklas Engbom; Christian Moser,"Increases in the minimum wage can substantially reduce earnings inequality. To demonstrate this, we combine administrative and survey data with an equilibrium model of the Brazilian labor market. We find that a 128 percent increase in the real minimum wage in Brazil between 1996 and 2018 had far-reaching spillover effects on wages higher up in the distribution. The increased minimum wage accounts for 45 percent of a large fall in earnings inequality over this period. At the same time, the effects of the minimum wage on employment and output are muted by reallocation of workers toward more productive firms.. (JEL D31, E23, E24, J31, J38, O15)",openalex,D31;E23;E24;J31;J38;O15,O15,TRUE,jel_o1_o2_code,,,no,n/a,high,"This paper uses observational data (administrative and survey) combined with an equilibrium model to study the effects of minimum wage changes in Brazil, with no mention of randomization or experimental design.",https://openalex.org/W4310177461,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
