raw_cleaned,canonical,merged
'la Caixa' Foundation,la Caixa Foundation,yes
3ie,3ie,
Abdul Latif Jameel Poverty Action Lab,Abdul Latif Jameel Poverty Action Lab (J-PAL),yes
AEA,American Economic Association,yes
AERC,AERC,
AFOSR and DARPA,AFOSR and DARPA,
African Economies Research Fund,African Economies Research Fund,
Agricultural and Applied Economics Association,Agricultural and Applied Economics Association,
Agricultural Technology Adoption Initiative,Agricultural Technology Adoption Initiative,
Ahmedabad University,Ahmedabad University,
Alexander von Humboldt-Stiftung,Alexander von Humboldt-Stiftung,
Anova Health Institute,Anova Health Institute,
ARO MURI,ARO MURI,
AusAID,Australian Agency for International Development,yes
Australian Agency for International Development,Australian Agency for International Development,
Australian Research Council,Australian Research Council,
Benelux Association for Stable Isotope Scientists,Benelux Association for Stable Isotope Scientists,
Bilkent Üniversitesi,Bilkent Üniversitesi,
Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,
Bill and Melinda Gates Foundation,Bill & Melinda Gates Foundation,yes
Boston University,Boston University,
British Academy Early Childhood Development Programme,British Academy Early Childhood Development Programme,
Brown University,Brown University,
Bundesministerium für Bildung und Forschung,Bundesministerium für Bildung und Forschung,
Centers for Disease Control and Prevention,Centers for Disease Control and Prevention,
Centre for Economic Policy Research,Centre for Economic Policy Research,
Centro de Excelencia en Geotermia de Los Andes,Centro de Excelencia en Geotermia de Los Andes,
CEPR,Centre for Economic Policy Research,yes
CGIAR,CGIAR,
Children's Investment Fund Foundation,Children's Investment Fund Foundation,
COLCIENCIAS,COLCIENCIAS,
Columbia University,Columbia University,
CONICYT FONDECYT,CONICYT FONDECYT,
"Consejo Nacional de Innovación, Ciencia y Tecnología","Consejo Nacional de Innovación, Ciencia y Tecnología",
Consortium of International Agricultural Research Centers,Consortium of International Agricultural Research Centers,
Cornell University,Cornell University,
Cowles Foundation,Cowles Foundation,
CPP,CPP,
Danish International Development Agency,Danish International Development Agency,
Deakin University,Deakin University,
Department for International Development,Department for International Development,
"Department for International Development, UK Government",Department for International Development,yes
Department of Economics of the University of Oxford,Department of Economics of the University of Oxford,
"Department of Foreign Affairs and Trade, Australian Government","Department of Foreign Affairs and Trade, Australian Government",
Deutsche Forschungsgemeinschaft,Deutsche Forschungsgemeinschaft (DFG),yes
Deutsche Gesellschaft für Internationale Zusammenarbeit,Deutsche Gesellschaft für Internationale Zusammenarbeit,
Deutscher Akademischer Austauschdienst,Deutscher Akademischer Austauschdienst (DAAD),yes
Development Bank of Latin America,Development Bank of Latin America,
Economic and Social Research Council,Economic and Social Research Council,
Economic Research Forum,Economic Research Forum,
Edinburgh School of Social and Political Science,Edinburgh School of Social and Political Science,
Elrha,Elrha,
Enterprise Community Partners,Enterprise Community Partners,
ESRC,Economic and Social Research Council,yes
EU Framework Programme for Research and Innovation Marie Skłodowska-Curie Actions,EU Framework Programme for Research and Innovation Marie Skłodowska-Curie Actions,
Eunice Kennedy Shriver National Institute of Child Health and Human Development,Eunice Kennedy Shriver National Institute of Child Health and Human Development,
EUR,EUR,
European Commission,European Commission,
European Research Council,European Research Council,
European Union,European Union,
Fondo Nacional de Desarrollo Científico y Tecnológico,Fondo Nacional de Desarrollo Científico y Tecnológico,
Ford Foundation,Ford Foundation,
Fundación La Caixa,la Caixa Foundation,yes
Fundación Probogotá,Fundación Probogotá,
Fundación Éxito,Fundación Éxito,
Fundação para a Ciência e a Tecnologia,Fundação para a Ciência e a Tecnologia,
Gates Foundation,Bill & Melinda Gates Foundation,yes
Generalitat Valenciana,Generalitat Valenciana,
