doi,journal_short,publication_year,title,n_funders,funders,fetch_status
10.1257/aer.20200295,AER,2021,Can Network Theory-Based Targeting Increase Technology Adoption?,0,,ok_no_funders
10.1257/aer.20200705,AER,2021,On Her Own Account: How Strengthening Women’s Financial Control Impacts Labor Supply and Gender Norms,0,,ok_no_funders
10.1257/aer.20191780,AER,2021,Types of Contact: A Field Experiment on Collaborative and Adversarial Caste Integration,0,,ok_no_funders
10.1257/aer.20201112,AER,2022,Reshaping Adolescents' Gender Attitudes: Evidence from a School-Based Experiment in India,0,,ok_no_funders
10.1257/aer.20221215,AER,2024,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,0,,ok_no_funders
10.1257/aer.20210766,AER,2022,"Credit, Attention, and Externalities in the Adoption of Energy Efficient Technologies by Low-Income Households",0,,ok_no_funders
10.1257/aer.20200751,AER,2022,Targeting High Ability Entrepreneurs Using Community Information: Mechanism Design in the Field,0,,ok_no_funders
10.1257/aer.20190830,AER,2021,"How Research Affects Policy: Experimental Evidence from 2,150 Brazilian Municipalities",0,,ok_no_funders
10.1257/aer.20201159,AER,2022,Local Elites as State Capacity: How City Chiefs Use Local Information to Increase Tax Compliance in the Democratic Republic of the Congo,0,,ok_no_funders
10.1257/aer.20191178,AER,2021,"Consumption Response to Credit Expansions: Evidence from Experimental Assignment of 45,307 Credit Lines",0,,ok_no_funders
10.1257/aer.20200961,AER,2022,Job Search and Hiring with Limited Information about Workseekers’ Skills,0,,ok_no_funders
10.1257/aer.20200523,AER,2021,The Challenges of Universal Health Insurance in Developing Countries: Experimental Evidence from Indonesia’s National Health Insurance,0,,ok_no_funders
10.1257/aer.20191972,AER,2021,"Recruitment, Effort, and Retention Effects of Performance Contracts for Civil Servants: Experimental Evidence from Rwandan Primary Schools",0,,ok_no_funders
10.1257/aer.20191726,AER,2021,The Impacts of a Multifaceted Prenatal Intervention on Human Capital Accumulation in Early Life,0,,ok_no_funders
10.1257/aer.20220717,AER,2024,Resisting Social Pressure in the Household Using Mobile Money: Experimental Evidence on Microenterprise Investment in Uganda,0,,ok_no_funders
10.1257/aer.20201661,AER,2022,"Fictional Money, Real Costs: Impacts of Financial Salience on Disadvantaged Students",0,,ok_no_funders
10.1257/aer.20211826,AER,2023,Does Identity Affect Labor Supply?,0,,ok_no_funders
10.1257/aer.20211616,AER,2022,The Psychosocial Value of Employment: Evidence from a Refugee Camp,0,,ok_no_funders
10.1257/aer.20201385,AER,2021,Labor Rationing,0,,ok_no_funders
10.1257/aer.20210122,AER,2022,Market Access and Quality Upgrading: Evidence from Four Field Experiments,0,,ok_no_funders
10.1257/aer.20211207,AER,2023,"Subjective Performance Evaluation, Influence Activities, and Bureaucratic Work Behavior: Evidence from China",0,,ok_no_funders
10.1257/aer.20220720,AER,2023,A Signal to End Child Marriage: Theory and Experimental Evidence from Bangladesh,0,,ok_no_funders
10.1257/aer.20210687,AER,2023,The Economic Impact of Depression Treatment in India: Evidence from Community-Based Provision of Pharmacotherapy,0,,ok_no_funders
10.1257/aer.20231247,AER,2025,Mission Motivation and Public Sector Performance: Experimental Evidence from Pakistan,0,,ok_no_funders
10.1257/aer.20200125,AER,2021,An Experiment in Candidate Selection,0,,ok_no_funders
10.1257/aer.20210701,AER,2023,When a Doctor Falls from the Sky: The Impact of Easing Doctor Supply Constraints on Mortality,0,,ok_no_funders
10.1257/aer.20210169,AER,2024,Asset-Based Microfinance for Microenterprises: Evidence from Pakistan,0,,ok_no_funders
10.1257/aer.20190586,AER,2021,The Selection of Talent: Experimental and Structural Evidence from Ethiopia,0,,ok_no_funders
10.1257/aer.20201892,AER,2022,Persistent Polarizing Effects of Persuasion: Experimental Evidence from Turkey,0,,ok_no_funders
10.1257/aer.20210461,AER,2023,Electronic Food Vouchers: Evidence from an At-Scale Experiment in Indonesia,0,,ok_no_funders
10.1257/aer.20220471,AER,2024,Urban Public Works in Spatial Equilibrium: Experimental Evidence from Ethiopia,0,,ok_no_funders
10.1257/aer.20210778,AER,2022,All Eyes on Them: A Field Experiment on Citizen Oversight and Electoral Integrity,0,,ok_no_funders
10.1257/aer.20211879,AER,2023,Worth Your Weight: Experimental Evidence on the Benefits of Obesity in Low-Income Countries,0,,ok_no_funders
10.1257/aer.20230084,AER,2024,Nurturing Childhood Curiosity to Enhance Learning: Evidence from a Randomized Pedagogical Intervention,0,,ok_no_funders
10.1257/aer.20210987,AER,2024,Monitoring in Small Firms: Experimental Evidence from Kenyan Public Transit,0,,ok_no_funders
10.1257/aer.20221234,AER,2025,Land Rental Markets: Experimental Evidence from Kenya,0,,ok_no_funders
10.1257/aer.20220616,AER,2024,Big Loans to Small Businesses: Predicting Winners and Losers in an Entrepreneurial Lending Experiment,0,,ok_no_funders
10.1257/aer.20241305,AER,2025,The Negligible Effect of Free Contraception on Fertility: Experimental Evidence from Burkina Faso,0,,ok_no_funders
10.1257/aer.20240374,AER,2025,Empowering Adolescents to Transform Schools: Lessons from a Behavioral Targeting,0,,ok_no_funders
10.1257/aer.20191657,AER,2021,Pay Me Later: Savings Constraints and the Demand for Deferred Payments,0,,ok_no_funders
10.1257/aer.20220711,AER,2024,Indirect Effects of Access to Finance,0,,ok_no_funders
10.1257/aer.20220296,AER,2024,Investing in the Next Generation: The Long-Run Impacts of a Liquidity Shock,0,,ok_no_funders
10.1257/aer.20230758,AER,2025,Leaders in Social Movements: Evidence from Unions in Myanmar,0,,ok_no_funders
10.1257/aer.20240119,AER,2025,Drivers of Change: Employment Responses to the Lifting of the Saudi Female Driving Ban,0,,ok_no_funders
10.1257/aer.20190565,AER,2022,Vulnerability and Clientelism,0,,ok_no_funders
10.1257/aer.20230947,AER,2025,Effects of Enhanced Legal Aid in Child Welfare: Evidence from a Randomized Trial of Mi Abogado,0,,ok_no_funders
10.1257/aeri.20190382,AERI,2021,Connecting the Countryside via E-Commerce: Evidence from China,0,,ok_no_funders
10.1257/aeri.20200667,AERI,2021,Long-Term Effects of the Targeting the Ultra Poor Program,0,,ok_no_funders
10.1257/aeri.20230431,AERI,2025,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,0,,ok_no_funders
10.1257/aeri.20230069,AERI,2024,Cash and Conflict: Large-Scale Experimental Evidence from Niger,0,,ok_no_funders
10.1257/aeri.20210612,AERI,2022,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,0,,ok_no_funders
10.1257/aeri.20220427,AERI,2023,Cognitive Behavioral Therapy Reduces Crime and Violence over Ten Years: Experimental Evidence,0,,ok_no_funders
10.1257/aeri.20220566,AERI,2023,Hiring Frictions and the Promise of Online Job Portals: Evidence from India,0,,ok_no_funders
10.1257/aeri.20220321,AERI,2023,Ghosting the Tax Authority: Fake Firms and Tax Fraud in Ecuador,0,,ok_no_funders
10.1257/aeri.20230594,AERI,2025,Promotions and Productivity: The Role of Meritocracy and Pay Progression in the Public Sector,0,,ok_no_funders
10.1257/aeri.20200723,AERI,2022,Gotta Have Money to Make Money? Bargaining Behavior and Financial Need of Microentrepreneurs,0,,ok_no_funders
10.1257/aeri.20220696,AERI,2024,Can Financial Incentives to Firms Improve Apprenticeship Training? Experimental Evidence from Ghana,0,,ok_no_funders
10.1257/aeri.20230156,AERI,2024,The Fading Treatment Effects of a Multifaceted Asset-Transfer Program in Ethiopia,0,,ok_no_funders
10.1257/aeri.20240058,AERI,2025,Surviving Bad News: Health Information without Treatment Options,0,,ok_no_funders
10.1257/aeri.20240581,AERI,2025,Long-Term and Lasting Impacts of Personal Initiative Training on Entrepreneurial Success,0,,ok_no_funders
10.1257/app.20190396,AEJ_Applied,2021,Subsidies and the African Green Revolution: Direct Effects and Social Network Spillovers of Randomized Input Subsidies in Mozambique,0,,ok_no_funders
10.1257/app.20180340,AEJ_Applied,2021,Growing Markets through Business Training for Female Entrepreneurs: A Market-Level Randomized Experiment in Kenya,0,,ok_no_funders
10.1257/app.20190783,AEJ_Applied,2021,Improving Last-Mile Service Delivery Using Phone-Based Monitoring,0,,ok_no_funders
10.1257/app.20200025,AEJ_Applied,2022,LinkedIn(to) Job Opportunities: Experimental Evidence from Job Readiness Training,0,,ok_no_funders
10.1257/app.20210011,AEJ_Applied,2022,Inefficient Water Pricing and Incentives for Conservation,0,,ok_no_funders
10.1257/app.20190568,AEJ_Applied,2021,Rational Habit Formation: Experimental Evidence from Handwashing in India,0,,ok_no_funders
10.1257/app.20220037,AEJ_Applied,2024,Private Input Suppliers as Information Agents for Technology Adoption in Agriculture,0,,ok_no_funders
10.1257/app.20200503,AEJ_Applied,2023,Are Small Firms Labor Constrained? Experimental Evidence from Ghana,0,,ok_no_funders
10.1257/app.20200306,AEJ_Applied,2022,Using Individual-Level Randomized Treatment to Learn about Market Structure,0,,ok_no_funders
10.1257/app.20210583,AEJ_Applied,2023,Uncovering Peer Effects in Social and Academic Skills,0,,ok_no_funders
10.1257/app.20210571,AEJ_Applied,2023,Hidden Income and the Perceived Returns to Migration,0,,ok_no_funders
10.1257/app.20220532,AEJ_Applied,2024,"Noise, Cognitive Function, and Worker Productivity",0,,ok_no_funders
10.1257/app.20210683,AEJ_Applied,2023,Is It Who You Are or What You Get? Comparing the Impacts of Loans and Grants for Microenterprise Development,0,,ok_no_funders
10.1257/app.20200639,AEJ_Applied,2023,Adverse Selection in Low-Income Health Insurance Markets: Evidence from an RCT in Pakistan,0,,ok_no_funders
10.1257/app.20210266,AEJ_Applied,2023,Does Exposure to Other Ethnic Regions Promote National Integration? Evidence from Nigeria,0,,ok_no_funders
10.1257/app.20210041,AEJ_Applied,2022,The Effects of Working While in School: Evidence from Employment Lotteries,0,,ok_no_funders
10.1257/app.20220072,AEJ_Applied,2024,Digital Information Provision and Behavior Change: Lessons from Six Experiments in East Africa,0,,ok_no_funders
10.1257/app.20230227,AEJ_Applied,2025,"Childcare, Labor Supply, and Business Development: Experimental Evidence from Uganda",0,,ok_no_funders
10.1257/app.20200721,AEJ_Applied,2022,Incentivized Peer Referrals for Tuberculosis Screening: Evidence from India,0,,ok_no_funders
10.1257/app.20230672,AEJ_Applied,2025,"Information Systems, Service Delivery, and Corruption: Evidence From the Bangladesh Civil Service",0,,ok_no_funders
10.1257/app.20190722,AEJ_Applied,2021,Does Patient Demand Contribute to the Overuse of Prescription Drugs?,0,,ok_no_funders
10.1257/app.20220088,AEJ_Applied,2024,Public Information Is an Incentive for Politicians: Experimental Evidence from Delhi Elections,0,,ok_no_funders
10.1257/app.20190220,AEJ_Applied,2021,Different Strokes for Different Folks? Experimental Evidence on the Effectiveness of Input and Output Incentive Contracts for Health Care Providers with Varying Skills,0,,ok_no_funders
10.1257/app.20220443,AEJ_Applied,2024,"Schoolgirls, Not Brides: Education as a Shield against Child Marriage",0,,ok_no_funders
