doi,journal_short,publication_year,title,matched_file,version,has_funding_statement,n_funders,funders,grant_numbers,extraction_status,notes,llm_model,llm_prompt_version,snapshot_utc
10.1257/app.20190396,AEJ_Applied,2021,Subsidies and the African Green Revolution: Direct Effects and Social Network Spillovers of Randomized Input Subsidies in Mozambique,carter-et-al-2021-subsidies-and-the-african-green-revolution-direct-effects-and-social-network-spillovers-of-randomized.pdf,published?,True,1,BASIS Assets and Market Access Innovation Lab of the United States Agency for International Development,BASIS Assets and Market Access Innovation Lab of the United States Agency for International Development: EDHA-00-06-0003-00,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T19:52:43Z
10.1257/app.20180340,AEJ_Applied,2021,Growing Markets through Business Training for Female Entrepreneurs: A Market-Level Randomized Experiment in Kenya,retrieve (25).pdf,published?,True,5,International Initiative for Impact Evaluation (3ie) | Private Enterprise Development in Low-Income Countries (PEDL) | International Labour Organization (ILO) | Strategic Research Program (SRP) | World Bank Jobs Umbrella Multidonor Trust Fund,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T19:52:57Z
10.1257/app.20190783,AEJ_Applied,2021,Improving Last-Mile Service Delivery Using Phone-Based Monitoring,EBSCO-FullText-06_03_2026 (2).pdf,published?,True,2,Strategic Impact Evaluation Fund (SIEF) at the World Bank | Bill and Melinda Gates Foundation,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T19:53:09Z
10.1257/app.20200025,AEJ_Applied,2022,LinkedIn(to) Job Opportunities: Experimental Evidence from Job Readiness Training,EBSCO-FullText-06_03_2026 (9).pdf,published?,True,2,RTI's Global Center for Youth Employment | National Science Foundation,National Science Foundation: SES-1824413,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T19:53:27Z
10.1257/app.20210011,AEJ_Applied,2022,Inefficient Water Pricing and Incentives for Conservation,EBSCO-FullText-06_03_2026 (4).pdf,published?,True,1,International Initiative for Impact Evaluation (3iE),International Initiative for Impact Evaluation (3iE): DPW1.1081,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T19:53:42Z
10.1257/app.20190568,AEJ_Applied,2021,Rational Habit Formation: Experimental Evidence from Handwashing in India,EBSCO-FullText-06_03_2026 (1).pdf,published?,True,5,J-PAL Urban Services Initiative | Weiss Family Fund | Schultz Fund | USAID | Evenson Fund,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T19:58:21Z
10.1257/app.20220037,AEJ_Applied,2024,Private Input Suppliers as Information Agents for Technology Adoption in Agriculture,EBSCO-FullText-06_03_2026 (17).pdf,published?,True,1,J-PAL & CEGA's Agricultural Technology Adoption Initiative (ATAI),,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T19:58:40Z
10.1257/app.20200503,AEJ_Applied,2023,Are Small Firms Labor Constrained? Experimental Evidence from Ghana,EBSCO-FullText-06_03_2026 (5).pdf,published?,True,8,National Science Foundation Graduate Research Fellowship | Ewing Marion Kauffman Foundation | Institute for Business and Economics Research at UC Berkeley | Private Enterprise Development in Low-Income Countries program | International Growth Centre | 3ie | USAID Development Innovation Ventures | Centre for Innovation Data in Economics Research at UBC,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T19:59:13Z
10.1257/app.20200306,AEJ_Applied,2022,Using Individual-Level Randomized Treatment to Learn about Market Structure,EBSCO-FullText-06_03_2026 (7).pdf,published?,True,2,International Growth Centre | Agricultural Technology Adoption Initiative,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T19:59:38Z
10.1257/app.20210583,AEJ_Applied,2023,Uncovering Peer Effects in Social and Academic Skills,EBSCO-FullText-06_03_2026 (20).pdf,published?,True,2,Weiss Family Fund | NAEd Spencer dissertation fellowship,NAEd Spencer dissertation fellowship: 027733-00001,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:00:07Z
