funder,label,Top 5_n,Other general-interest_n,JDE_n,Top 5_pct,Other general-interest_pct,JDE_pct
Abdul Latif Jameel Poverty Action Lab (J-PAL),J-PAL,24,22,10,8.9,5.1,2.5
World Bank Group,World Bank Group,7,18,29,2.6,4.2,7.2
FCDO,FCDO (UK),9,21,7,3.3,4.9,1.7
United States Agency for International Development (USAID),USAID,4,14,18,1.5,3.3,4.4
International Growth Centre,IGC,14,14,7,5.2,3.3,1.7
Bill & Melinda Gates Foundation,Gates Foundation,6,10,13,2.2,2.3,3.2
National Science Foundation,NSF,9,6,2,3.3,1.4,0.5
International Initiative for Impact Evaluation (3ie),3ie,3,11,1,1.1,2.6,0.2
Weiss Family Fund,Weiss Family Fund,6,9,0,2.2,2.1,0.0
Inter-American Development Bank,IDB,0,1,10,0.0,0.2,2.5
CGIAR,CGIAR,0,2,8,0.0,0.5,2.0
Economic and Social Research Council,ESRC,2,4,4,0.7,0.9,1.0
European Research Council,ERC,4,4,2,1.5,0.9,0.5
Private Enterprise Development in Low-Income Countries (PEDL),PEDL,6,3,1,2.2,0.7,0.2
Other,Other,177,290,293,65.3,67.6,72.3
TOTAL,Total (denominator),271,429,405,100.0,100.0,100.0
