funder,label,Top 5_n,Other general-interest_n,JDE_n,Top 5_pct,Other general-interest_pct,JDE_pct
Abdul Latif Jameel Poverty Action Lab (J-PAL),J-PAL,24,22,10,24.0,14.9,7.7
World Bank Group,World Bank Group,7,18,24,7.0,12.2,18.5
FCDO,FCDO (UK),9,21,7,9.0,14.2,5.4
United States Agency for International Development (USAID),USAID,4,14,18,4.0,9.5,13.8
International Growth Centre,IGC,14,13,7,14.0,8.8,5.4
Bill & Melinda Gates Foundation,Gates Foundation,6,10,12,6.0,6.8,9.2
National Science Foundation,NSF,8,6,2,8.0,4.1,1.5
International Initiative for Impact Evaluation (3ie),3ie,3,11,1,3.0,7.4,0.8
Weiss Family Fund,Weiss Family Fund,6,9,0,6.0,6.1,0.0
Economic and Social Research Council,ESRC,2,4,4,2.0,2.7,3.1
Private Enterprise Development in Low-Income Countries (PEDL),PEDL,6,3,1,6.0,2.0,0.8
CGIAR,CGIAR,0,2,7,0.0,1.4,5.4
European Research Council,ERC,4,3,2,4.0,2.0,1.5
Inter-American Development Bank,IDB,0,1,8,0.0,0.7,6.2
Deutsche Forschungsgemeinschaft (DFG),DFG,0,1,6,0.0,0.7,4.6
Agricultural Technology Adoption Initiative,ATAI,0,1,5,0.0,0.7,3.8
National Institutes of Health,NIH,2,2,2,2.0,1.4,1.5
Social Sciences and Humanities Research Council of Canada,SSHRC,1,1,4,1.0,0.7,3.1
Fundação para a Ciência e a Tecnologia,FCT (Portugal),0,1,4,0.0,0.7,3.1
National Natural Science Foundation of China,NSFC (China),1,2,2,1.0,1.4,1.5
University of Michigan,Univ. of Michigan,2,1,2,2.0,0.7,1.5
William and Flora Hewlett Foundation,William and Flora Hewlett Foundation,1,2,2,1.0,1.4,1.5
TOTAL,Total (denominator),100,148,130,100.0,100.0,100.0
