doi,journal_short,publication_year,title,study_setting,study_iso3_list,irb_status,irb_terms_matched,irb_institutions,irb_iso3_list,irb_country_identified,irb_in_study_country,irb_location_class,irb_n_institutions,irb_approval_status,irb_justification,irb_llm_model,irb_llm_prompt_version,snapshot_utc
10.1016/j.jdeveco.2020.102600,JDE,2021,It takes two: Experimental evidence on the determinants of technology diffusion,single_country,GHA,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2020.102609,JDE,2021,How does delegating decisions to communities affect the provision and use of a public service? Evidence from a field experiment in Bangladesh,single_country,BGD,ok,IRB,Columbia University,USA,TRUE,FALSE,foreign_only,1,mentioned_only,Rule-based match: Columbia University,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2020.102612,JDE,2021,Does legal representation increase investment? Evidence from a field experiment in Kenya,single_country,KEN,ok,Institutional Review Board | ethical/ethics approval,McGill University,CAN,TRUE,FALSE,foreign_only,1,approved,Rule-based match: McGill University,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2020.102613,JDE,2021,Body and mind: Experimental evidence from women living with HIV,no_country,,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2020.102615,JDE,2021,The Effects of Chess Instruction on Academic and Non-cognitive Outcomes: Field Experimental Evidence from a Developing Country,no_country,,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2020.102620,JDE,2021,"Information, technology, and market rewards: Incentivizing aflatoxin control in Ghana",single_country,GHA,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2020.102622,JDE,2021,Boosting pension enrollment and household consumption by example: A field experiment on information provision,single_country,CHN,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102626,JDE,2021,Contract farming and rural transformation: Evidence from a field experiment in Benin,single_country,BEN,ok,IRB/ethics (full-text rescan),University of Illinois (USA),USA,TRUE,FALSE,foreign_only,1,approved,"Full-text rescan 2026-06-15 (no_mention->reports IRB): o thank the manager of ESOP Bante for the support during the experiment. The experiment was registered at the AEA RCT registry, ID AEARCTR-0002619 and received IRB approval from the University of Illinois (#16618). Helpful comments were pro",,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102632,JDE,2021,Does insecure land tenure deter investment? Evidence from a randomized controlled trial,single_country,ZMB,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102645,JDE,2021,Can information influence the social insurance participation decision of China's rural migrants?,single_country,CHN,ok,human subjects,Australian National University,AUS,TRUE,FALSE,foreign_only,1,approved,Rule-based match: Australian National University,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
