doi,journal_short,publication_year,title,matched_file,n_pages,has_irb_mention,terms_matched,n_mentions,pages_with_mentions,snippets,extraction_status,snapshot_utc
10.1016/j.jdeveco.2020.102600,JDE,2021,It takes two: Experimental evidence on the determinants of technology diffusion,1-s2.0-S0304387820301759-main.pdf,21,False,,0,,,no_mention,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2020.102609,JDE,2021,How does delegating decisions to communities affect the provision and use of a public service? Evidence from a field experiment in Bangladesh,1-s2.0-S030438782030184X-main.pdf,22,True,IRB,1,21,"[p21|IRB] ...gAuthorityAffectProvision? mon good, how willing communities are touse the vetorights nomi- The research was covered by Columbia University IRB protocol nallyassignedtothem,howeffectivelycommunitiescanenforceagree- AAAA6176. ments, what strategies an external organization can pursue...",ok,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2020.102612,JDE,2021,Does legal representation increase investment? Evidence from a field experiment in Kenya,1-s2.0-S0304387820301875-main.pdf,40,True,Institutional Review Board | ethical/ethics approval,2,40,[p40|Institutional Review Board|despaced] ...escribedinthispaper.thisresearchreceivedethicalapprovalbytheinstitutionalreviewboardofmcgilluniversity(approvalsavailableuponrequest).references...  ||  [p40|ethical/ethics approval|despaced] ...relatetotheresearchdescribedinthispaper.thisresearchreceivedethicalapprovalbytheinstitutionalreviewboardofmcgilluniversity(approvalsava...,ok,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2020.102613,JDE,2021,Body and mind: Experimental evidence from women living with HIV,1-s2.0-S0304387820301887-main.pdf,16,False,,0,,,no_mention,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2020.102615,JDE,2021,The Effects of Chess Instruction on Academic and Non-cognitive Outcomes: Field Experimental Evidence from a Developing Country,1-s2.0-S0304387820301905-main.pdf,18,False,,0,,,no_mention,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2020.102620,JDE,2021,"Information, technology, and market rewards: Incentivizing aflatoxin control in Ghana",1-s2.0-S0304387820301954-main.pdf,29,False,,0,,,no_mention,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2020.102622,JDE,2021,Boosting pension enrollment and household consumption by example: A field experiment on information provision,1-s2.0-S0304387820301978-main.pdf,12,False,,0,,,no_mention,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102626,JDE,2021,Contract farming and rural transformation: Evidence from a field experiment in Benin,1-s2.0-S0304387821000031-main.pdf,17,False,,0,,,no_mention,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102632,JDE,2021,Does insecure land tenure deter investment? Evidence from a randomized controlled trial,1-s2.0-S0304387821000110-main.pdf,15,False,,0,,,no_mention,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102645,JDE,2021,Can information influence the social insurance participation decision of China's rural migrants?,1-s2.0-S0304387821000249-main.pdf,20,True,human subjects,1,1,[p1|human subjects|despaced] ...sstudyisregisteredintheaearctregistry(aearctr-0003265)andthehumansubjectsirbwasapprovedbytheaustraliannationaluniversityethicscommitt...,ok,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102665,JDE,2021,"Information, get-out-the-vote messages, and peer influence: Causal effects on political behavior in Mozambique",1-s2.0-S0304387821000444-main.pdf,13,True,ethical/ethics approval,1,12,[p12|ethical/ethics approval|despaced] ...paradoxofarticulationoflocalstateorgans:fromthe(20131117aa).ethicsapprovalsweresecuredfromuniversidadenovadiscourseondecentralizationt...,ok,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102674,JDE,2021,A breath of fresh air: Raising awareness for clean fuel adoption,1-s2.0-S0304387821000535-main.pdf,21,True,IRB | ethical/ethics | ethical/ethics approval,7,15;20,"[p15|IRB] ...E), housed at IFMR. Ethics approval for the the existing cash-back LPG subsidy provided by the government in research was obtained from the IRBs of the ISI and IFMR. another treatment arm. We then analyzed the take-up and usage of LPG, induction and other health seeking behavior by h...  ||  [p15|ethical/ethics] ...rks to Advance Women and Girls campaign by bundling health awareness with financial information on in the Economy (IWWAGE), housed at IFMR. Ethics approval for the the existing cash-back LPG subsidy provided by the government in research was obtained from the IRBs of the ISI and IFMR....  ||  [p15|ethical/ethics approval|despaced] ...withfinancialinformationonintheeconomy(iwwage),housedatifmr.ethicsapprovalforthetheexistingcash-backlpgsubsidyprovidedbythegovernmenti...  ||  [p20|IRB] ...nization had the right to review this paper before it was circulated. 6. There is no conflict of interest with any other published work. 7. IRB approval was obtained for this study at the Indian Statistical Institute and the Institute for Financial Management and Research. 8. I conc...  ||  [p20|IRB] ...nization had the right to review this paper before it was circulated. 6. There is no conflict of interest with any other published work. 7. IRB approval was obtained for this study at the Indian Statistical Institute and the Institute for Financial Management and Research. 8. I conc...  ||  [p20|IRB] ...nization had the right to review this paper before it was circulated. 6. There is no conflict of interest with any other published work. 7. IRB approval was obtained for this study at the Indian Statistical Institute and the Institute for Financial Management and Research. 20...",ok,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102699,JDE,2021,(Mis)information and anxiety: Evidence from a randomized Covid-19 information campaign,1-s2.0-S0304387821000766-main.pdf,6,True,IRB | ethical/ethics | human subjects,5,5,"[p5|IRB] ...and software financial interest in Good Business Lab. code used in the analysis are freely available at https://doi.org The study received IRB approval at the University of Michigan /10.7910/DVN/WKDC9I. (HUM00180576). References Data availability Agence-France Presse, 2020. Over 1,...  ||  [p5|ethical/ethics] ...tphone ownership. Contributorship statement org/10.1016/j.jdeveco.2021.102699. D Sadish, Achyuta Adhvaryu, and Anant Nyshadham designed the Ethics study, performed the analysis, and wrote the manuscript. D Sadish executed the data collection and experiment. This study was approved by G...  ||  [p5|ethical/ethics] ...he analysis, and wrote the manuscript. D Sadish executed the data collection and experiment. This study was approved by Good Business Lab’s Ethics Committee in India (Identifier: GBL0520) and University of Michigan Human Subjects Pre-registration Research Committee in the United States...  ||  [p5|human subjects] ...n and experiment. This study was approved by Good Business Lab’s Ethics Committee in India (Identifier: GBL0520) and University of Michigan Human Subjects Pre-registration Research Committee in the United States (Office of Human Research Protections Registration Number: IRB00000246). All study...  ||  [p5|human subjects|despaced] ...scommitteeinindia(identifier:gbl0520)anduniversityofmichiganhumansubjectspre-registrationresearchcommitteeintheunitedstates(officeofh...",ok,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102701,JDE,2021,Testing willingness to pay elicitation mechanisms in the field: Evidence from Uganda,1-s2.0-S0304387821000778-main.pdf,8,True,IRB,1,4,"[p4|IRB] ...ase of a larger field ex- unasked questions as missing, and focus on the share of correct answers for periment, which subsequently received IRB approval from MUREC (national thefirstattemptofthecheckquestions.Themostnotablecaseswerethat11 IRBinUganda).Informedconsentwasobtainedfroma...",ok,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102707,JDE,2021,The joint effects of information and financing constraints on technology adoption: Evidence from a field experiment in rural Tanzania,1-s2.0-S030438782100081X-main.pdf,17,False,,0,,,no_mention,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102710,JDE,2021,Subsidies for technology adoption: Experimental evidence from rural Cameroon,1-s2.0-S0304387821000845-main.pdf,10,False,,0,,,no_mention,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102713,JDE,2021,Seeking the treated: The impact of mobile extension on farmer information exchange in India,1-s2.0-S0304387821000870-main.pdf,17,False,,0,,,no_mention,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102716,JDE,2021,Can youth empowerment programs reduce violence against girls during the COVID-19 pandemic?,1-s2.0-S0304387821000894-main.pdf,9,True,ethical/ethics | ethical/ethics approval,5,1;3,"[p1|ethical/ethics] ...nowledgessupportfromtheWorldBankGroup’sUmbrellaFacilityforGenderEquality,whichsupportstheAfrica Gender Innovation Lab. The project received ethical approval from the ethics committee of Bocconi University, No:9882-2; and is registered on the American EconomicAssociation’sRCTregistry,AEA...  ||  [p1|ethical/ethics approval|despaced] ...whichsupportstheafricagenderinnovationlab.theprojectreceivedethicalapprovalfromtheethicscommitteeofbocconiuniversity,no:9882-2;andisreg...  ||  [p3|ethical/ethics] ...nedineachcasebyanexpert both girls and boys receive self-employment income, around 38% get on Child Safeguarding Policy following stringent ethical guidelines informal transfers from family or friends and close to 2% get formal transfers from the government or an NGO. In order to measur...",ok,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102718,JDE,2021,Can community service grants foster social and economic integration for youth? A randomized trial in Kazakhstan,1-s2.0-S0304387821000912-main.pdf,14,False,,0,,,no_mention,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102722,JDE,2021,Collective action in games as in life: Experimental evidence from canal cleaning in Haiti,1-s2.0-S0304387821000948-main.pdf,20,False,,0,,,no_mention,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102737,JDE,2021,Environmental effects of development programs: Experimental evidence from West African dryland forests,1-s2.0-S0304387821001085-main.pdf,10,False,,0,,,no_mention,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102745,JDE,2021,The power to protect: Household bargaining and female condom use,1-s2.0-S0304387821001127-main.pdf,17,False,,0,,,no_mention,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102747,JDE,2021,Texts don’t nudge: An adaptive trial to prevent the spread of COVID-19 in India,1-s2.0-S0304387821001140-main.pdf,9,True,human subjects,1,1,"[p1|human subjects|despaced] ...elkreindlerandgautamraoforhelpfulcomments.thisstudyunderwenthumansubjectsreviewatifmr(irb00007107),theharvardthchanschoolofpublicheal...",ok,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102751,JDE,2021,Cheap talk and coordination in the lab and in the field: Collective commercialization in Senegal,1-s2.0-S0304387821001164-main.pdf,10,True,ethical/ethics,1,9,[p9|ethical/ethics] ...t lower impacts on coordination than knowing performed.IRBapprovalwasobtainedfromIFPRIandtheSenegalese justtheoveralldistribution. National Ethics Committee for Research in Health (CNERS). The RCT 2. Participation in the LFEs impacts subsequent behavior in the was registered in the Ame...,ok,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102753,JDE,2021,Welfare effects of an in-kind transfer program: Evidence from Mexico,1-s2.0-S030438782100119X-main.pdf,16,False,,0,,,no_mention,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102776,JDE,2021,How light is too light touch: The effect of a short training-based intervention on household poultry production in Burkina Faso,1-s2.0-S030438782100136X-main.pdf,13,True,ethical/ethics,1,4,"[p4|ethical/ethics] ...and.15standard Mouhoun, Centre-Ouest, and Hauts-Bassins). These communes were deviations for household poultry sales (Gelli et al., 2017).9 Ethical selectedrandomlyfromagroupof79communesintheseregionsiden- reviewandapprovalwasprovidedbytheInstitutionalResearchBoard tifiedaseligibleforsc...",ok,2026-06-09T21:32:24Z
10.1016/j.jdeveco.2021.102779,JDE,2021,Direct vs indirect management training: Experimental evidence from schools in Mexico,1-s2.0-S0304387821001371-main.pdf,9,False,,0,,,no_mention,2026-06-09T21:32:24Z
