code,parent_code,parent_name,top_letter,top_name,descriptor_bare,descriptor_prefixed
A10,A1,General Economics,A,General Economics and Teaching,General,General Economics: General
A11,A1,General Economics,A,General Economics and Teaching,Role of Economics; Role of Economists; Market for Economists,General Economics: Role of Economics; Role of Economists; Market for Economists
A12,A1,General Economics,A,General Economics and Teaching,Relation of Economics to Other Disciplines,General Economics: Relation of Economics to Other Disciplines
A13,A1,General Economics,A,General Economics and Teaching,Relation of Economics to Social Values,General Economics: Relation of Economics to Social Values
A14,A1,General Economics,A,General Economics and Teaching,Sociology of Economics,General Economics: Sociology of Economics
A19,A1,General Economics,A,General Economics and Teaching,Other,General Economics: Other
A20,A2,Economic Education and Teaching of Economics,A,General Economics and Teaching,General,Economic Education and Teaching of Economics: General
A21,A2,Economic Education and Teaching of Economics,A,General Economics and Teaching,Pre-college,Economic Education and Teaching of Economics: Pre-college
A22,A2,Economic Education and Teaching of Economics,A,General Economics and Teaching,Undergraduate,Economic Education and Teaching of Economics: Undergraduate
A23,A2,Economic Education and Teaching of Economics,A,General Economics and Teaching,Graduate,Economic Education and Teaching of Economics: Graduate
A29,A2,Economic Education and Teaching of Economics,A,General Economics and Teaching,Other,Economic Education and Teaching of Economics: Other
A30,A3,Collective Works,A,General Economics and Teaching,General,Collective Works: General
A31,A3,Collective Works,A,General Economics and Teaching,Collected Writings of Individuals,Collective Works: Collected Writings of Individuals
A32,A3,Collective Works,A,General Economics and Teaching,Collective Volumes,Collective Works: Collective Volumes
A33,A3,Collective Works,A,General Economics and Teaching,Handbooks,Collective Works: Handbooks
A39,A3,Collective Works,A,General Economics and Teaching,Other,Collective Works: Other
B00,B0,,B,"History of Economic Thought, Methodology, and Heterodox Approaches",General,General
B10,B1,History of Economic Thought through 1925,B,"History of Economic Thought, Methodology, and Heterodox Approaches",General,History of Economic Thought through 1925: General
B11,B1,History of Economic Thought through 1925,B,"History of Economic Thought, Methodology, and Heterodox Approaches","Preclassical (Ancient, Medieval, Mercantilist, Physiocratic)","History of Economic Thought through 1925: Preclassical (Ancient, Medieval, Mercantilist, Physiocratic)"
B12,B1,History of Economic Thought through 1925,B,"History of Economic Thought, Methodology, and Heterodox Approaches",Classical (includes Adam Smith),History of Economic Thought through 1925: Classical (includes Adam Smith)
B13,B1,History of Economic Thought through 1925,B,"History of Economic Thought, Methodology, and Heterodox Approaches","Neoclassical through 1925 (Austrian, Marshallian, Walrasian, Wicksellian)","History of Economic Thought through 1925: Neoclassical through 1925 (Austrian, Marshallian, Walrasian, Wicksellian)"
B14,B1,History of Economic Thought through 1925,B,"History of Economic Thought, Methodology, and Heterodox Approaches",Socialist; Marxist,History of Economic Thought through 1925: Socialist; Marxist
B15,B1,History of Economic Thought through 1925,B,"History of Economic Thought, Methodology, and Heterodox Approaches",Historical; Institutional; Evolutionary,History of Economic Thought through 1925: Historical; Institutional; Evolutionary
B16,B1,History of Economic Thought through 1925,B,"History of Economic Thought, Methodology, and Heterodox Approaches",Quantitative and Mathematical,History of Economic Thought through 1925: Quantitative and Mathematical
B17,B1,History of Economic Thought through 1925,B,"History of Economic Thought, Methodology, and Heterodox Approaches",International Trade and Finance,History of Economic Thought through 1925: International Trade and Finance
B19,B1,History of Economic Thought through 1925,B,"History of Economic Thought, Methodology, and Heterodox Approaches",Other,History of Economic Thought through 1925: Other
B20,B2,History of Economic Thought since 1925,B,"History of Economic Thought, Methodology, and Heterodox Approaches",General,History of Economic Thought since 1925: General
