iso3,name_canonical,income_group,alt_names,match_terms
AFG,Afghanistan,LIC,,Afghanistan
AGO,Angola,LMC,,Angola
ALB,Albania,UMC,,Albania
ARG,Argentina,UMC,,Argentina
ARM,Armenia,UMC,,Armenia
AZE,Azerbaijan,UMC,,Azerbaijan
BDI,Burundi,LIC,,Burundi
BEN,Benin,LMC,,Benin
BFA,Burkina Faso,LIC,,Burkina Faso
BGD,Bangladesh,LMC,,Bangladesh
BIH,Bosnia and Herzegovina,UMC,Bosnia,Bosnia and Herzegovina;Bosnia
BLR,Belarus,UMC,,Belarus
BLZ,Belize,UMC,,Belize
BOL,Bolivia,LMC,Bolivia,Bolivia
BRA,Brazil,UMC,,Brazil
BTN,Bhutan,LMC,,Bhutan
BWA,Botswana,UMC,,Botswana
CAF,Central African Republic,LIC,,Central African Republic
CHN,China,UMC,,China
CIV,Cote d'Ivoire,LMC,Cote d'Ivoire;Ivory Coast,Cote d'Ivoire;Ivory Coast
CMR,Cameroon,LMC,,Cameroon
COD,"Congo, Dem. Rep.",LIC,Democratic Republic of the Congo;DR Congo;DRC,"Congo, Dem. Rep.;Democratic Republic of the Congo;DR Congo;DRC"
COG,"Congo, Rep.",LMC,Republic of the Congo;Congo-Brazzaville,"Congo, Rep.;Republic of the Congo;Congo-Brazzaville"
COL,Colombia,UMC,,Colombia
COM,Comoros,LMC,,Comoros
CPV,Cabo Verde,UMC,Cape Verde,Cabo Verde;Cape Verde
CUB,Cuba,UMC,,Cuba
DJI,Djibouti,LMC,,Djibouti
DMA,Dominica,UMC,,Dominica
DOM,Dominican Republic,UMC,,Dominican Republic
DZA,Algeria,UMC,,Algeria
ECU,Ecuador,UMC,,Ecuador
EGY,"Egypt, Arab Rep.",LMC,Egypt,"Egypt, Arab Rep.;Egypt"
ERI,Eritrea,LIC,,Eritrea
FJI,Fiji,UMC,,Fiji
FSM,"Micronesia, Fed. Sts.",LMC,Federated States of Micronesia,"Micronesia, Fed. Sts.;Federated States of Micronesia"
GAB,Gabon,UMC,,Gabon
GEO,Georgia,UMC,,Georgia
GHA,Ghana,LMC,,Ghana
GIN,Guinea,LMC,,Guinea
GMB,"Gambia, The",LIC,Gambia;the Gambia,"Gambia, The;Gambia;the Gambia"
GNB,Guinea-Bissau,LIC,,Guinea-Bissau
GNQ,Equatorial Guinea,UMC,,Equatorial Guinea
GRD,Grenada,UMC,,Grenada
GTM,Guatemala,UMC,,Guatemala
HND,Honduras,LMC,,Honduras
HTI,Haiti,LMC,,Haiti
IDN,Indonesia,UMC,,Indonesia
IND,India,LMC,,India
