openalex_id,n_authors,n_female,n_male,n_undetermined,n_determined,share_female_of_determined,any_female,first_author_gender,last_author_gender,all_undetermined
https://openalex.org/W2884891121,4,0,2,2,2,0.0000,FALSE,undetermined,male,FALSE
https://openalex.org/W2887450805,4,2,2,0,4,0.5000,TRUE,female,male,FALSE
https://openalex.org/W2973701128,5,5,0,0,5,1.0000,TRUE,female,female,FALSE
https://openalex.org/W2995374774,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3150052525,3,2,1,0,3,0.6667,TRUE,female,female,FALSE
https://openalex.org/W3150080251,4,1,3,0,4,0.2500,TRUE,female,male,FALSE
https://openalex.org/W2909598045,4,0,3,1,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4392295937,6,1,3,2,4,0.2500,TRUE,male,undetermined,FALSE
https://openalex.org/W4313303421,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4310177461,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3124765710,3,3,0,0,3,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4298012885,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4293568589,4,2,1,1,3,0.6667,TRUE,female,undetermined,FALSE
https://openalex.org/W2783385777,3,1,1,1,2,0.5000,TRUE,undetermined,male,FALSE
https://openalex.org/W2953307258,4,1,3,0,4,0.2500,TRUE,male,male,FALSE
https://openalex.org/W4225134649,2,0,1,1,1,0.0000,FALSE,undetermined,male,FALSE
https://openalex.org/W3080395694,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4310177458,3,3,0,0,3,1.0000,TRUE,female,female,FALSE
https://openalex.org/W2936203654,2,1,1,0,2,0.5000,TRUE,male,female,FALSE
https://openalex.org/W4283367986,4,0,4,0,4,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4200124540,4,1,1,2,2,0.5000,TRUE,undetermined,male,FALSE
https://openalex.org/W4387096937,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3203280048,4,0,4,0,4,0.0000,FALSE,male,male,FALSE
https://openalex.org/W2979844637,3,2,1,0,3,0.6667,TRUE,male,female,FALSE
https://openalex.org/W4226353405,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4307292943,4,2,2,0,4,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4406965573,5,1,2,2,3,0.3333,TRUE,female,male,FALSE
https://openalex.org/W3197645637,6,4,1,1,5,0.8000,TRUE,female,undetermined,FALSE
https://openalex.org/W3174918233,4,1,3,0,4,0.2500,TRUE,female,male,FALSE
https://openalex.org/W4402923709,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3201800472,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3117522249,6,3,3,0,6,0.5000,TRUE,male,female,FALSE
https://openalex.org/W4281624977,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4281753073,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4396512506,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4283360615,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4295883415,4,2,2,0,4,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4403893140,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3151426590,4,0,3,1,3,0.0000,FALSE,undetermined,male,FALSE
https://openalex.org/W3124710478,3,1,2,0,3,0.3333,TRUE,male,female,FALSE
https://openalex.org/W4385367935,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4405889121,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4307731535,4,2,1,1,3,0.6667,TRUE,undetermined,female,FALSE
https://openalex.org/W4387096976,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4200215044,3,2,1,0,3,0.6667,TRUE,female,female,FALSE
https://openalex.org/W4288074146,4,3,1,0,4,0.7500,TRUE,female,male,FALSE
https://openalex.org/W4322627449,5,1,2,2,3,0.3333,TRUE,male,undetermined,FALSE
https://openalex.org/W4234052562,4,0,4,0,4,0.0000,FALSE,male,male,FALSE
https://openalex.org/W2995912196,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3186756403,5,3,0,2,3,1.0000,TRUE,female,undetermined,FALSE
https://openalex.org/W3144103139,3,1,2,0,3,0.3333,TRUE,male,male,FALSE
https://openalex.org/W4390363263,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4411811828,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W2968554373,3,2,1,0,3,0.6667,TRUE,female,male,FALSE
https://openalex.org/W4402924215,5,1,2,2,3,0.3333,TRUE,female,undetermined,FALSE
https://openalex.org/W4322619280,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3120406790,2,0,1,1,1,0.0000,FALSE,undetermined,male,FALSE
https://openalex.org/W4391333227,4,0,4,0,4,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3190378268,2,2,0,0,2,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4408028022,4,1,3,0,4,0.2500,TRUE,male,male,FALSE
https://openalex.org/W4409035886,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4403893207,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4403893415,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
