iso3,name_canonical,income_group,headcount_pct_2021,headcount_year_used,headcount_reporting_level,headcount_is_interpolated,headcount_is_stale,total_population_2021,poor_population_2021_mn,poverty_data_missing,headcount_pct_2002,headcount_2002_is_interpolated,total_population_2002,poor_population_2002_mn,poverty_reduction_2002_to_2021_mn,poverty_change_data_missing
AFG,Afghanistan,LIC,,,,,,40000412,,TRUE,,,21378117,,,TRUE
AGO,Angola,LMC,26.4700,2018,national,FALSE,FALSE,34532429,9.1407,FALSE,,,17327699,,,TRUE
ALB,Albania,UMC,0.0000,2020,national,FALSE,FALSE,2489762,0.0000,FALSE,0.7900,FALSE,3051010,0.0241,0.0241,FALSE
ARG,Argentina,UMC,0.8300,2021,urban,FALSE,FALSE,45312281,0.3761,FALSE,10.6700,FALSE,38029349,4.0577,3.6816,FALSE
ARM,Armenia,UMC,0.2900,2021,national,FALSE,FALSE,2962300,0.0086,FALSE,6.1100,FALSE,3199800,0.1955,0.1869,FALSE
AZE,Azerbaijan,UMC,0.0000,2005,national,FALSE,TRUE,10137750,0.0000,FALSE,0.0400,FALSE,8171950,0.0033,0.0033,FALSE
BDI,Burundi,LIC,54.7000,2020,national,FALSE,FALSE,12965481,7.0921,FALSE,,,6824132,,,TRUE
BEN,Benin,LMC,11.3100,2021,national,FALSE,FALSE,13413417,1.5171,FALSE,,,7675426,,,TRUE
BFA,Burkina Faso,LIC,21.3700,2021,national,FALSE,FALSE,21995243,4.7004,FALSE,,,12680897,,,TRUE
BGD,Bangladesh,LMC,4.9400,2016,national,FALSE,FALSE,167658854,8.2823,FALSE,,,138933658,,,TRUE
BIH,Bosnia and Herzegovina,UMC,0.1200,2021,national,FALSE,FALSE,3244907,0.0039,FALSE,,,4188002,,,TRUE
BLR,Belarus,UMC,0.0000,2020,national,FALSE,FALSE,9302585,0.0000,FALSE,3.4900,FALSE,9865548,0.3443,0.3443,FALSE
BLZ,Belize,UMC,0.2800,2018,national,FALSE,FALSE,395346,0.0011,FALSE,,,256009,,,TRUE
BOL,Bolivia,LMC,1.4800,2021,national,FALSE,FALSE,11937360,0.1767,FALSE,17.9600,FALSE,8900355,1.5985,1.4218,FALSE
BRA,Brazil,UMC,4.7000,2021,national,FALSE,FALSE,209550294,9.8489,FALSE,9.6100,FALSE,178503484,17.1542,7.3053,FALSE
BTN,Bhutan,LMC,0.5300,2017,national,FALSE,FALSE,775442,0.0041,FALSE,,,624409,,,TRUE
BWA,Botswana,UMC,10.4400,2015,national,FALSE,TRUE,2401441,0.2507,FALSE,21.9900,FALSE,1744763,0.3837,0.1330,FALSE
CAF,Central African Republic,LIC,55.9400,2021,national,FALSE,FALSE,5112100,2.8597,FALSE,,,4006077,,,TRUE
CHN,China,UMC,0.0000,2021,national,FALSE,FALSE,1412360000,0.0000,FALSE,31.1600,FALSE,1280400000,398.9726,398.9726,FALSE
CIV,Cote d'Ivoire,LMC,6.7400,2021,national,FALSE,FALSE,29639736,1.9977,FALSE,22.6300,FALSE,18654771,4.2216,2.2239,FALSE
CMR,Cameroon,LMC,13.3500,2021,national,FALSE,FALSE,26915758,3.5933,FALSE,,,15725528,,,TRUE
COD,"Congo, Dem. Rep.",LIC,74.4000,2020,national,FALSE,FALSE,99148932,73.7668,FALSE,,,53750524,,,TRUE
COG,"Congo, Rep.",LMC,26.5200,2011,national,FALSE,TRUE,5892183,1.5626,FALSE,,,3350771,,,TRUE
COL,Colombia,UMC,6.5700,2021,national,FALSE,FALSE,51188173,3.3631,FALSE,12.7500,FALSE,40324680,5.1414,1.7783,FALSE
COM,Comoros,LMC,2.2000,2020,national,FALSE,FALSE,818174,0.0180,FALSE,,,558923,,,TRUE
CPV,Cabo Verde,UMC,6.3200,2015,national,FALSE,TRUE,516649,0.0327,FALSE,,,467046,,,TRUE
CUB,Cuba,UMC,,,,,,11122168,,TRUE,,,11177418,,,TRUE
DJI,Djibouti,LMC,14.9500,2017,national,FALSE,FALSE,1121248,0.1676,FALSE,17.2800,FALSE,795574,0.1375,-0.0302,FALSE
DMA,Dominica,UMC,,,,,,67202,,TRUE,,,68367,,,TRUE
DOM,Dominican Republic,UMC,0.3400,2021,national,FALSE,FALSE,11123476,0.0378,FALSE,4.4800,FALSE,8852235,0.3966,0.3588,FALSE
DZA,Algeria,UMC,0.0000,2011,national,FALSE,TRUE,44761099,0.0000,FALSE,,,31750835,,,TRUE
ECU,Ecuador,UMC,2.4100,2021,national,FALSE,FALSE,17682454,0.4261,FALSE,,,13138472,,,TRUE
EGY,"Egypt, Arab Rep.",LMC,0.1600,2021,national,FALSE,FALSE,110957008,0.1775,FALSE,,,76239137,,,TRUE
ERI,Eritrea,LIC,,,,,,3350183,,TRUE,,,2392978,,,TRUE
