doi,doi_url,journal_short,publication_year,volume,issue,first_page,last_page,title,authors,pdf_filename,pdf_collected
10.1257/app.20190220,https://doi.org/10.1257/app.20190220,AEJ_Applied,2021,13,4,34,69,Different Strokes for Different Folks? Experimental Evidence on the Effectiveness of Input and Output Incentive Contracts for Health Care Providers with Varying Skills,Manoj Mohanan; Katherine Donato; Grant Miller; Yulya Truskinovsky; Marcos Vera‐Hernández,10.1257_app.20190220.pdf,
10.1257/app.20210180,https://doi.org/10.1257/app.20210180,AEJ_Applied,2021,15,2,31,68,Discriminatory Lending: Evidence from Bankers in the Lab,Jonathan Brock; Ralph De Haas,10.1257_app.20210180.pdf,
10.1257/app.20190722,https://doi.org/10.1257/app.20190722,AEJ_Applied,2021,14,1,225,260,Does Patient Demand Contribute to the Overuse of Prescription Drugs?,Carolina López; Anja Sautmann; Simone Schaner,10.1257_app.20190722.pdf,
10.1257/app.20180340,https://doi.org/10.1257/app.20180340,AEJ_Applied,2021,13,2,297,332,Growing Markets through Business Training for Female Entrepreneurs: A Market-Level Randomized Experiment in Kenya,David McKenzie; Susana Puerto,10.1257_app.20180340.pdf,
10.1257/app.20190783,https://doi.org/10.1257/app.20190783,AEJ_Applied,2021,13,2,52,82,Improving Last-Mile Service Delivery Using Phone-Based Monitoring,Karthik Muralidharan; Paul Niehaus; Sandip Sukhtankar; Jeffrey Weaver,10.1257_app.20190783.pdf,
10.1257/app.20190568,https://doi.org/10.1257/app.20190568,AEJ_Applied,2021,14,1,1,41,Rational Habit Formation: Experimental Evidence from Handwashing in India,Reshmaan Hussam; Atonu Rabbani; Giovanni Reggiani; Natalia Rigol,10.1257_app.20190568.pdf,
10.1257/app.20190396,https://doi.org/10.1257/app.20190396,AEJ_Applied,2021,13,2,206,229,Subsidies and the African Green Revolution: Direct Effects and Social Network Spillovers of Randomized Input Subsidies in Mozambique,Michael Carter; Rachid Laajaj; Dean Yang,10.1257_app.20190396.pdf,
10.1257/app.20190497,https://doi.org/10.1257/app.20190497,AEJ_Applied,2021,13,4,125,149,Teaching Labor Laws: Evidence from a Randomized Control Trial in South Africa,Marianne Bertrand; Bruno Crépon,10.1257_app.20190497.pdf,
10.1257/app.20200721,https://doi.org/10.1257/app.20200721,AEJ_Applied,2022,15,1,259,291,Incentivized Peer Referrals for Tuberculosis Screening: Evidence from India,Jessica Goldberg; Mario Macis; Pradeep K. Chintagunta,10.1257_app.20200721.pdf,
10.1257/app.20210011,https://doi.org/10.1257/app.20210011,AEJ_Applied,2022,15,1,319,350,Inefficient Water Pricing and Incentives for Conservation,Ujjayant Chakravorty; Manzoor H. Dar; Kyle Emerick,10.1257_app.20210011.pdf,
10.1257/app.20200025,https://doi.org/10.1257/app.20200025,AEJ_Applied,2022,14,2,101,125,LinkedIn(to) Job Opportunities: Experimental Evidence from Job Readiness Training,Laurel Wheeler; Robert Garlick; Eric Johnson; Patrick Shaw; Marissa Gargano,10.1257_app.20200025.pdf,
10.1257/app.20210041,https://doi.org/10.1257/app.20210041,AEJ_Applied,2022,15,1,383,410,The Effects of Working While in School: Evidence from Employment Lotteries,Thomas Le Barbanchon; Diego Ubfal; Federico Araya,10.1257_app.20210041.pdf,
10.1257/app.20200306,https://doi.org/10.1257/app.20200306,AEJ_Applied,2022,14,4,58,90,Using Individual-Level Randomized Treatment to Learn about Market Structure,Lorenzo Casaburi; Tristan Reed,10.1257_app.20200306.pdf,
10.1257/app.20200639,https://doi.org/10.1257/app.20200639,AEJ_Applied,2023,15,3,313,340,Adverse Selection in Low-Income Health Insurance Markets: Evidence from an RCT in Pakistan,Torben Fischer; Markus Frölich; Andreas Landmann,10.1257_app.20200639.pdf,
10.1257/app.20200503,https://doi.org/10.1257/app.20200503,AEJ_Applied,2023,15,2,253,284,Are Small Firms Labor Constrained? Experimental Evidence from Ghana,Morgan Hardy; Jamie McCasland,10.1257_app.20200503.pdf,
10.1257/app.20210266,https://doi.org/10.1257/app.20210266,AEJ_Applied,2023,16,1,157,192,Does Exposure to Other Ethnic Regions Promote National Integration? Evidence from Nigeria,Oyebola Okunogbe,10.1257_app.20210266.pdf,
10.1257/app.20210571,https://doi.org/10.1257/app.20210571,AEJ_Applied,2023,15,4,321,352,Hidden Income and the Perceived Returns to Migration,Travis Baseler,10.1257_app.20210571.pdf,
10.1257/app.20210683,https://doi.org/10.1257/app.20210683,AEJ_Applied,2023,16,1,286,313,Is It Who You Are or What You Get? Comparing the Impacts of Loans and Grants for Microenterprise Development,Bruno Crépon; Mohamed El-Komi; Adam Osman,10.1257_app.20210683.pdf,
10.1257/app.20210583,https://doi.org/10.1257/app.20210583,AEJ_Applied,2023,15,3,35,79,Uncovering Peer Effects in Social and Academic Skills,Román Andrés Zárate,10.1257_app.20210583.pdf,
10.1257/app.20220072,https://doi.org/10.1257/app.20220072,AEJ_Applied,2024,17,1,527,566,Digital Information Provision and Behavior Change: Lessons from Six Experiments in East Africa,Raissa Fabregas; Michael Kremer; Matthew Lowes; Robert On; Giulia Zane,10.1257_app.20220072.pdf,
10.1257/app.20220532,https://doi.org/10.1257/app.20220532,AEJ_Applied,2024,16,4,322,360,"Noise, Cognitive Function, and Worker Productivity",Joshua T. Dean,10.1257_app.20220532.pdf,
10.1257/app.20220037,https://doi.org/10.1257/app.20220037,AEJ_Applied,2024,16,2,219,248,Private Input Suppliers as Information Agents for Technology Adoption in Agriculture,Manzoor H. Dar; Alain de Janvry; Kyle Emerick; Élisabeth Sadoulet; Eleanor Wiseman,10.1257_app.20220037.pdf,
10.1257/app.20220088,https://doi.org/10.1257/app.20220088,AEJ_Applied,2024,16,3,323,353,Public Information Is an Incentive for Politicians: Experimental Evidence from Delhi Elections,Abhijit Banerjee; Nils Enevoldsen; Rohini Pande; Michael Walton,10.1257_app.20220088.pdf,
10.1257/app.20220443,https://doi.org/10.1257/app.20220443,AEJ_Applied,2024,16,4,109,143,"Schoolgirls, Not Brides: Education as a Shield against Child Marriage",Hélène Giacobino; Élise Huillery; Bastien Michel; Mathilde Sage,10.1257_app.20220443.pdf,
