journal,year,dev_total,rct_yes,rct_no,rct_uncertain,rct_yes_pct
AEJ_Applied,2021,18,8,10,0,44.4%
AEJ_Applied,2022,18,5,13,0,27.8%
AEJ_Applied,2023,15,7,8,0,46.7%
AEJ_Applied,2024,17,7,10,0,41.2%
AEJ_Applied,2025,10,5,5,0,50.0%
AEJ_EP,2021,10,1,9,0,10.0%
AEJ_EP,2022,8,3,5,0,37.5%
AEJ_EP,2023,15,3,12,0,20.0%
AEJ_EP,2024,12,0,12,0,0.0%
AEJ_EP,2025,12,3,9,0,25.0%
AER,2021,22,12,10,0,54.5%
AER,2022,25,11,14,0,44.0%
AER,2023,17,7,10,0,41.2%
AER,2024,31,9,21,1,29.0%
AER,2025,23,7,15,1,30.4%
AERI,2021,5,2,3,0,40.0%
AERI,2022,4,2,2,0,50.0%
AERI,2023,10,3,7,0,30.0%
AERI,2024,5,3,2,0,60.0%
AERI,2025,8,4,4,0,50.0%
ECMA,2021,5,2,3,0,40.0%
ECMA,2022,10,1,9,0,10.0%
ECMA,2023,15,2,9,0,13.3%
ECMA,2024,9,4,5,0,44.4%
ECMA,2025,9,2,6,0,22.2%
EJ,2021,24,3,21,0,12.5%
EJ,2022,21,5,16,0,23.8%
EJ,2023,26,8,18,0,30.8%
EJ,2024,34,13,20,0,38.2%
EJ,2025,41,12,27,0,29.3%
JDE,2021,117,31,85,0,26.5%
JDE,2022,138,34,94,0,24.6%
JDE,2023,159,41,116,0,25.8%
JDE,2024,138,32,101,1,23.2%
JDE,2025,212,35,98,2,16.5%
JEEA,2021,9,4,5,0,44.4%
JEEA,2022,13,4,9,0,30.8%
JEEA,2023,13,3,10,0,23.1%
JEEA,2024,10,3,6,0,30.0%
JEEA,2025,14,4,10,0,28.6%
JPE,2021,10,1,9,0,10.0%
JPE,2022,8,1,7,0,12.5%
JPE,2023,14,5,9,0,35.7%
JPE,2024,7,2,5,0,28.6%
JPE,2025,12,3,9,0,25.0%
QJE,2021,8,4,4,0,50.0%
QJE,2022,6,3,3,0,50.0%
QJE,2023,9,0,9,0,0.0%
QJE,2024,10,5,4,1,50.0%
QJE,2025,9,2,7,0,22.2%
RES,2021,7,2,5,0,28.6%
RES,2022,7,0,7,0,0.0%
RES,2023,12,3,9,0,25.0%
RES,2024,19,5,14,0,26.3%
RES,2025,22,3,19,0,13.6%
RESTAT,2021,32,8,24,0,25.0%
RESTAT,2022,27,4,23,0,14.8%
RESTAT,2023,21,6,15,0,28.6%
RESTAT,2024,25,6,19,0,24.0%
RESTAT,2025,33,9,24,0,27.3%
