topic,label,Top 5_n,Other general-interest_n,JDE_n,Top 5_pct,Other general-interest_pct,JDE_pct
firms,Firms,34,53,65,10.6,10.5,9.7
labor,Labor,31,45,65,9.7,8.9,9.7
political_economy,Political economy,36,59,43,11.2,11.7,6.4
trade_macro,Trade & macro,48,43,44,15.0,8.5,6.6
health,Health,16,57,58,5.0,11.3,8.7
education,Education,24,49,52,7.5,9.7,7.8
agriculture,Agriculture,12,21,68,3.7,4.2,10.1
behavioral_info,Behavioral & information,22,37,41,6.9,7.3,6.1
gender,Gender,20,22,49,6.2,4.3,7.3
conflict_crime,Conflict & crime,11,31,24,3.4,6.1,3.6
environment,Environment,15,22,22,4.7,4.3,3.3
finance,Finance,20,18,21,6.2,3.6,3.1
other,Other,13,11,31,4.0,2.2,4.6
migration,Migration,3,10,40,0.9,2.0,6.0
social_protection,Social protection,9,16,26,2.8,3.2,3.9
infrastructure,Infrastructure,7,12,21,2.2,2.4,3.1
TOTAL,Total,321,506,670,100.0,100.0,100.0
