journal_short,journal_full,publication_year,publication_date,volume,issue,first_page,last_page,doi,title,authors,abstract,abstract_source,jel_codes,jel_codes_o_only,is_development,dev_filter_source,dev_llm_classification,dev_llm_justification,rct_classification,rct_subtype,rct_confidence,rct_justification,openalex_id,snapshot_utc,dev_llm_model,dev_llm_prompt_version,rct_llm_model,rct_llm_prompt_version,primary_topic,secondary_topic,topic_confidence,topic_justification,topic_llm_model,topic_prompt_version
AERI,American Economic Review: Insights,2025,2025-05-29,7,2,177,195,10.1257/aeri.20230564,Labor Market Power and Development,Tristany Armangué-Jubert; Nezih Guner; Alessandro Ruggieri,"Imperfect competition in labor markets can lead to efficiency losses and lower aggregate output. This paper examines how variations in labor market competitiveness may account for differences in GDP per capita among countries. By structurally estimating an oligop-sony model with free entry across different development stages, we find that labor market power increases with GDP per capita. Wage markdowns vary from 54 percent in low-income countries to around 24 percent in the richest ones. If labor markets in poorer countries were as competitive as in more developed ones, their output per capita could rise by up to 44 percent. (JEL E23, J22, J31, J42, L13, L25, O47)",openalex,E23;J22;J31;J42;L13;L25;O47,O47,TRUE,country_match,,,no,n/a,high,This paper uses structural estimation of an oligopsony model with observational data across countries; there is no randomized intervention or experimental design.,https://openalex.org/W4410860142,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1,labor,,high,Structural examination of oligopsony wage-setting power and markdowns as primary driver of development differences in GDP per capita.,claude-haiku-4-5-20251001,topic-classify-v1
AEJ_Applied,American Economic Journal: Applied Economics,2024,2024-09-26,16,4,71,108,10.1257/app.20220512,Distortion by Audit: Evidence from Public Procurement,María Paula Gerardino; Stephan Litschig; Dina Pomeranz,"Public sector audits are key to state capacity. However, they can create unintended distortions. Regression discontinuity analysis from Chile shows that audits lowered the use of auctions for public procurement, reduced supplier competition, and increased the likelihood of small, local, and incumbent firms winning contracts. Looking inside the black box of the audit process reveals that relative to comparable direct contracts, auctions underwent more than twice as many checks and led to twice as many detected infractions. These findings show that standard audit protocols can mechanically discourage the use of more regulated, complex, and transparent procedures involving more auditable steps. (JEL H57, H83, O17)",openalex,H57;H83;O17,O17,TRUE,jel_o1_o2_code,,,no,n/a,high,"This paper uses regression discontinuity analysis of observational data from Chile's audit system, not random assignment to treatment by researchers.",https://openalex.org/W3122831527,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1,political_economy,firms,high,"Audits as state capacity and governance mechanism that mechanically distorts procurement procedures, reducing competition and altering firm selection outcomes.",claude-haiku-4-5-20251001,topic-classify-v1
JPE,Journal of Political Economy,2023,2023-05-02,132,1,200,247,10.1086/725703,O-Ring Production Networks,Banu Demir; Ana Cecília Fieler; Daniel Yi Xu; Kelly Kaili Yang,"We document strong skill matching in Turkish firms’ production networks. Additionally, in the data, export demand shocks from rich countries increase firms’ skill intensity and their trade with skill-intensive domestic partners. We explain these patterns using a quantitative model with heterogeneous firms, quality choices, and endogenous networks. A counterfactual economy-wide export demand shock of 5% leads both exporters and nonexporters to upgrade quality, raising the average wage by 1.2%. This effect is nine times the effect in a scenario without interconnected quality choices. We use the model to study the conditions for the success of export promotion policies.",openalex,D22;F14;J24;L14;L15;O14;O19,O14;O19,TRUE,jel_o1_o2_code,,,no,n/a,high,This paper uses observational data on Turkish firms with a structural model and counterfactual simulations to study production networks; there is no randomized intervention.,https://openalex.org/W3162795466,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1,firms,trade_macro,high,"Quantitative model of heterogeneous firms' quality choices and production networks responding to export demand shocks, explaining skill intensity and wage outcomes for export promotion policy analysis.",claude-haiku-4-5-20251001,topic-classify-v1
JPE,Journal of Political Economy,2024,2024-02-06,132,7,2346,2395,10.1086/729068,Aftermarket Frictions and the Cost of Off-Platform Options in Centralized Assignment Mechanisms,Adam Kapor; Mohit Karnani; Christopher Neilson,"We study the welfare and human capital impacts of colleges’ (non)participation in Chile’s centralized higher-education platform, leveraging administrative data and two policy changes: the introduction of a large scholarship program and the inclusion of additional institutions, which raised the number of on-platform slots by approximately 40%. We first show that the expansion of the platform raised on-time graduation rates. We then develop and estimate a model of college applications, offers, wait lists, matriculation, and graduation. When the platform expands, welfare increases, and welfare, enrollment, and graduation rates are less sensitive to off-platform frictions. Gains are larger for students from lower-socioeconomic-status backgrounds.",openalex,I23;I26;O15,O15,TRUE,jel_o1_o2_code,,,no,n/a,high,"This paper uses observational administrative data to study policy changes in Chile's centralized college assignment system, employing structural modeling rather than randomized assignment to treatment.",https://openalex.org/W4391579687,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1,education,social_protection,high,"Paper studies a centralized platform expansion and scholarship program's effects on college enrollment, graduation rates, and welfare outcomes, with larger gains emphasized for low-SES students.",claude-haiku-4-5-20251001,topic-classify-v1
RES,Review of Economic Studies,2024,2024-05-16,92,2,621,655,10.1093/restud/rdae051,(Successful) Democracies Breed Their Own Support,Daron Acemoğlu; Nicolás Ajzenman; Cevat Giray Aksoy; Martín Fiszbein; Carlos Molina,"Abstract Using large-scale survey data covering more than 110 countries and exploiting within-country variation across cohorts and surveys, we show that individuals with longer exposure to democracy display stronger support for democratic institutions, and that this effect is almost entirely driven by exposure to democracies with successful performance in terms of economic growth, control of corruption, peace and political stability, and public goods provision. Across a variety of specifications, estimation methods, and samples, the results are robust, and the timing and nature of the effects are consistent with our interpretation. We also present suggestive evidence that democratic institutions that receive support from their citizens perform better in the face of negative shocks.",openalex,D72;D73;H41;O11;O17;O47,O11;O17;O47,TRUE,jel_o1_o2_code,,,no,n/a,high,"This paper uses observational survey data with within-country variation across cohorts and surveys to study the relationship between democratic exposure and support, with no mention of randomization or experimental intervention.",https://openalex.org/W4287033299,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1,political_economy,,high,"The paper examines how exposure to democracy and its institutional performance (corruption control, stability, economic growth) affect citizen support for democratic institutions—core governance and political economy questions.",claude-haiku-4-5-20251001,topic-classify-v1
RESTAT,Review of Economics and Statistics,2024,2024-03-18,108,1,110,128,10.1162/rest_a_01430,The Health Care Cost of Air Pollution: Evidence from the World’s Largest Payment Network,Panle Jia Barwick; Shanjun Li; D. C. Rao; Nahim Bin Zahur,"Abstract This paper exploits the universe of credit- and debit-card transactions in China during 2013–2015 and provides the first nationwide analysis of the health care cost of PM2.5 for a developing country. We leverage spatial spillovers of PM2.5 from long-range transport to generate exogenous variation in local pollution, and we employ a flexible distributed lag model to capture semiparametrically the dynamic response of pollution exposure. We find significant impacts of PM2.5 on health care spending in both the short and medium terms. A 10 μg/m3 decrease in PM2.5 would reduce annual health care spending by over $9.2 billion, about 1.5% of China’s annual health care expenditure.",openalex,,,TRUE,country_match,,,no,n/a,high,"This is an observational study using credit/debit card transaction data with instrumental variables (spatial spillovers of PM2.5) to estimate causal effects, not a randomized controlled trial.",https://openalex.org/W4392906867,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1,health,environment,high,Health care spending response to PM2.5 air pollution exposure.,claude-haiku-4-5-20251001,topic-classify-v1
RESTAT,Review of Economics and Statistics,2024,2024-03-18,,,1,16,10.1162/rest_a_01431,Optimal Ownership and Firm Performance: An Analysis of China’s FDI Liberalization,Peter Eppinger; Hong Ma,"Abstract Seminal theories of the firm posit that firm ownership is allocated to minimize contractual inefficiencies. Yet, it remains unclear how much the optimal ownership choice affects firm performance in practice. This paper provides a first quantification of the gains from optimal ownership within multinational firms by exploiting a major liberalization of China’s policy restrictions on foreign ownership. The liberalization allowed previously restricted firms to become fully foreign-owned. We find that these reoptimized ownership choices raise firm output by 40% and productivity by 7.5% on average. An extended property-rights theory of the multinational firm rationalizes these effects and their heterogeneity.",openalex,,,TRUE,country_match,,,no,n/a,high,"This paper exploits a policy liberalization as a quasi-experimental shock to study ownership changes, but does not involve researcher-implemented randomization of treatment assignment.",https://openalex.org/W4392907003,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1,firms,trade_macro,high,Firm productivity and output gains from optimal ownership reallocation in multinational firms following FDI liberalization.,claude-haiku-4-5-20251001,topic-classify-v1
RESTAT,Review of Economics and Statistics,2024,2024-10-29,,,1,45,10.1162/rest_a_01517,Carry Trades and FX Risk Buffers: Foreign Currency Debt of Emerging Market Firms,Annie Soyean Lee; Steve Pak Yeung Wu,"Abstract The surge in foreign currency (FC) corporate debt in emerging economies has sparked concerns about macroeconomic stability, heightened by speculation about non-financial firms engaging in carry trades. Using firm-level data on the currency denomination of both assets and liabilities, we find evidence of firms' carry trades: firms save in local currency liquid assets and earn higher interest income after issuing short-term FC debt. They also set aside FC liquid assets as FX risk buffers. A large degree of heterogeneity in incentives is observed. Notably, listed firms participate more in carry trades and allocate less FX risk buffers than non-listed firms.",openalex,,,TRUE,country_match,,,no,n/a,high,"This paper uses observational firm-level data to analyze corporate financial behavior regarding foreign currency debt and carry trades, with no mention of randomization or experimental intervention.",https://openalex.org/W4404056070,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1,finance,firms,high,"Non-financial firms' financial decisions regarding foreign currency debt denomination, carry trading behavior, and FX risk buffer allocation to manage currency exposure.",claude-haiku-4-5-20251001,topic-classify-v1
EJ,Economic Journal,2021,2021-06-28,132,641,361,390,10.1093/ej/ueab052,Enforcement of Labour Regulation and the Labour Market Effects of Trade: Evidence from Brazil,Vladimir Ponczek; Gabriel Ulyssea,Abstract How does enforcement of labour regulations shape the labour market effects of trade? We combine local economic shocks generated by the unilateral trade liberalisation in Brazil and enforcement variation across regions to show that regions with stricter enforcement observed: (i) lower informality; (ii) larger losses in overall employment; (iii) greater reductions in the number of formal plants. Regions with weaker enforcement experienced opposite effects. All these effects are concentrated on low-skill workers. Our results indicate that greater flexibility introduced by informality allows both formal firms and low-skill workers to cope better with adverse labour market shocks.,openalex,F14;F16;J24;J46;O15;O19,O15;O19,TRUE,jel_o1_o2_code,,,no,n/a,high,This paper uses observational data exploiting variation in trade liberalization and enforcement across regions without any researcher-implemented randomization.,https://openalex.org/W4241645629,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1,labor,trade_macro,high,"Labor regulation enforcement and employment outcomes (informality, job losses, plant closures) are the primary outcome variables; trade liberalization is the exogenous shock.",claude-haiku-4-5-20251001,topic-classify-v1
EJ,Economic Journal,2025,2025-01-30,135,670,2067,2082,10.1093/ej/ueaf009,"Yellow Pages: Information, connections and firm performance",Brian Dillon; Jenny C. Aker; Joshua Blumenstock,"Abstract We study the impact of a low-cost intervention to reduce information frictions in rural markets by randomly assigning small and medium enterprises in Tanzania to be listed in a telephone directory. The listed firms expand their communication networks, increase sales and make greater use of mobile money, with positive spillovers to firms in the same village. Estimated effects are larger and more statistically precise for firms that are more productive at baseline, consistent with consumers seeking out better firms when search costs fall. We find no evidence of negative between-village spillovers on unlisted firms.",openalex,D22;D24;D83;L25;O14;O18,O14;O18,TRUE,jel_o1_o2_code,,,yes,individual,high,"The abstract explicitly states firms were randomly assigned to be listed in a telephone directory, which is a real-world intervention with measurable outcomes on sales and firm performance.",https://openalex.org/W4407005583,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1,firms,finance,high,"Random assignment of SMEs to telephone directory listing with measured effects on firm sales, network expansion, and mobile money adoption.",claude-haiku-4-5-20251001,topic-classify-v1
EJ,Economic Journal,2025,2025-09-25,,,,,10.1093/ej/ueaf099,Feed the Children,Laurens Cherchye; Pierre‐André Chiappori; Bram De Rock; Charlotte Ringdal; Frédéric Vermeulen,"Abstract To understand the household decision-making process regarding food expenditures for children in poor households in Nairobi, we conduct an experiment with 424 married and monogamous couples. In the experiment, the spouses (individually and jointly) allocate money between themselves and nutritious meals for one of their children. We propose a novel and simple test to distinguish between cooperative/collective and non-cooperative decision behaviour. We find strong empirical support for the collective model of household consumption. This collective model indicates that the spouses’ structural bargaining weights derived from observed consumption patterns strongly correlate with more traditional indicators of power. Furthermore, our results suggest that women do not have stronger preferences for children’s meals than men. Finally, we document a significant heterogeneity in both individual preferences and intra-household decision-making processes.",openalex,,,TRUE,llm_yes,yes,"Studies household decision-making and child nutrition in poor households in Nairobi, Kenya, a developing-country setting with clear development economics focus on poverty and intra-household resource allocation.",no,n/a,high,"This is a lab-in-the-field experiment testing household decision-making through allocation choices, not a randomized controlled trial of a real-world intervention with actual treatment delivery.",https://openalex.org/W4414564967,2026-05-06T15:54:40Z,claude-sonnet-4-5,dev-classify-v1,claude-sonnet-4-5,rct-classify-v1,gender,health,high,"Paper tests collective vs. non-cooperative intra-household bargaining models through allocation experiments between spouses, examining bargaining weights, power correlates, and gender differences in preferences for children's nutritious meals.",claude-haiku-4-5-20251001,topic-classify-v1
JEEA,Journal of the European Economic Association,2021,2021-11-30,20,3,1001,1047,10.1093/jeea/jvab052,Can Simple Psychological Interventions Increase Preventive Health Investment?,Anett John; Kate Orkin,"Behavioral constraints may explain part of the low demand for preventive health products. We test the effects of two light-touch psychological interventions on water chlorination and related health and economic outcomes using a randomized controlled trial among 3,750 women in rural Kenya. One intervention encourages participants to visualize alternative realizations of the future, and the other builds participants' ability to make concrete plans. After 12 weeks, visualization increases objectively measured chlorination, reduces diarrhea episodes among children, and increases savings. Effects on chlorination and savings persist after almost 3 years. Effects of the planning intervention are weaker and largely insignificant. Analysis of mechanisms suggests both interventions increase self-efficacy-beliefs about one's ability to achieve desired outcomes. Visualization also increases participants' skill in forecasting their future utility. The interventions do not differentially affect beliefs and knowledge about chlorination. Results suggest simple psychological interventions can increase future-oriented behaviors, including use of preventive health technologies.",openalex,D91;I12;J16;O15;O18,O15;O18,TRUE,jel_o1_o2_code,,,yes,individual,high,"The abstract explicitly states this is a randomized controlled trial testing psychological interventions on water chlorination and health outcomes among 3,750 women in rural Kenya.",https://openalex.org/W3216098599,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1,health,behavioral_info,high,Child diarrhea reduction and water chlorination adoption are primary health outcomes; psychological interventions address behavioral constraints.,claude-haiku-4-5-20251001,topic-classify-v1
